Timestep,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,IMU1_a_mag,IMU1_g_mag,IMU1_pitch,IMU1_roll,IMU1_jerk_a_mag,IMU1_yaw_int,IMU2_a_mag,IMU2_g_mag,IMU2_pitch,IMU2_roll,IMU2_jerk_a_mag,IMU2_yaw_int,IMU3_a_mag,IMU3_g_mag,IMU3_pitch,IMU3_roll,IMU3_jerk_a_mag,IMU3_yaw_int,IMU4_a_mag,IMU4_g_mag,IMU4_pitch,IMU4_roll,IMU4_jerk_a_mag,IMU4_yaw_int,IMU5_a_mag,IMU5_g_mag,IMU5_pitch,IMU5_roll,IMU5_jerk_a_mag,IMU5_yaw_int,IMU1_qw,IMU1_qx,IMU1_qy,IMU1_qz,IMU2_qw,IMU2_qx,IMU2_qy,IMU2_qz,IMU3_qw,IMU3_qx,IMU3_qy,IMU3_qz,IMU4_qw,IMU4_qx,IMU4_qy,IMU4_qz,IMU5_qw,IMU5_qx,IMU5_qy,IMU5_qz,REL_LH_pitch,REL_LH_roll,REL_RH_pitch,REL_RH_roll,REL_LK_pitch,REL_LK_roll,REL_RK_pitch,REL_RK_roll,REL_THIGH_yaw,REL_ANKLE_yaw,move,label
0,0.6559186,0.2563646,1.3881972,0.004325533,0.060950775,-0.3573509,0.604442,0.60984975,0.20939487,0.1734175,0.30786106,0.093310095,0.26991642,0.8480868,-0.33584714,0.15896119,0.24058673,0.33624563,-0.8646086,-0.5942076,-0.36231303,0.09765971,0.13570084,0.142686,0.20619011,0.4657362,-0.013524914,0.15710385,0.18861414,0.14089161,0.88028085,-0.5615296,-0.4304029,0.5422321,1.3567397e-05,0.7748381,0.64505035,0.9784265,-0.3975913,0.24251452,0.42589355,-0.45509872,-0.6294381,0.019846512,-0.0014001053,0.6312432,0.72994447,0.16057175,-0.72243434,0.6159108,0.64412946,-0.61734444,-0.37189674,0.6230925,-0.00082696596,0.84493005,0.49355555,0.87236524,-0.5485193,0.6292897,0.47694921,-0.6521936,0.77517134,-0.57261443,-0.0026284144,0.80712533,0.27513003,-0.61548096,0.59546554,0.60235536,0.5432485,-0.6501114,-0.055305324,0.23556075,-0.0033960624,-0.26700774,0.2550749,0.4257172,-0.059971638,0.16544347,0.18658556,-0.47375196,0.2800429,0.1427585,0.7978612,-0.48407328,0.253934,-0.50288886,-0.77893317,0.6812656,4,1
1,0.6559186,0.2563646,1.3875185,-0.011314835,0.060950775,-0.3606933,0.604442,0.6097421,0.20939487,0.1734175,0.29282725,0.093310095,0.26983675,0.8480868,-0.33739907,0.15578458,0.24058673,0.33624563,-0.8659844,-0.5942402,-0.36231303,0.094924286,0.13570084,0.14095102,0.20619011,0.4657362,-0.014645338,0.15710385,0.18620276,0.14089161,0.8798442,-0.55793625,-0.4305358,0.54219276,-0.010431348,0.765001,0.6454647,0.9722654,-0.3963044,0.23367071,0.42577773,-0.45839745,-0.62944454,0.019854108,-0.0075352048,0.63101333,0.72362626,0.16221435,-0.71880335,0.6192692,0.64383507,-0.6177422,-0.37182418,0.62336606,-0.006999932,0.8447497,0.49202117,0.87358207,-0.543136,0.63365215,0.47747487,-0.6508507,0.77635413,-0.57261884,0.009679742,0.80658084,0.2739781,-0.6159526,0.5959821,0.6001015,0.5431309,-0.65061665,-0.055318404,0.23576497,-0.0063391305,-0.26564148,0.25692242,0.4247347,-0.060104735,0.16887291,0.18671979,-0.47371286,0.280202,0.14299686,0.79837775,-0.48407987,0.2538748,-0.50305605,-0.7787982,0.6801959,4,1
2,0.6562084,0.2563646,1.3853285,-0.024358843,0.06334681,-0.3619087,0.6054565,0.609703,0.21003038,0.17447586,0.26653823,0.09391465,0.269149,0.8482824,-0.33933085,0.15311334,0.24133067,0.33696124,-0.8664847,-0.59445983,-0.35545173,0.08899752,0.12816088,0.13828184,0.20740904,0.4667536,-0.015623266,0.16096464,0.18404715,0.14153391,0.87897676,-0.5542263,-0.43108138,0.54206556,-0.024537316,0.75516397,0.64589095,0.96608424,-0.39497343,0.2248915,0.4257593,-0.4637571,-0.6301747,0.019686555,-0.0046053096,0.63080114,0.7173359,0.16384551,-0.7154558,0.62239915,0.64427096,-0.6178627,-0.37134865,0.62373,0.006070314,0.8445831,0.49051327,0.8747659,-0.5378319,0.6380076,0.47973025,-0.65042746,0.7764947,-0.5718069,0.054678835,0.80598235,0.27282092,-0.61643726,0.5962766,0.59788775,0.5457179,-0.65097684,-0.05599394,0.23606537,0.060205873,-0.26425165,0.25859675,0.42381874,-0.060285382,0.17228533,0.1869839,-0.47368765,0.2809243,0.14336134,0.798975,-0.4833383,0.2532486,-0.5032632,-0.77867347,0.6790776,4,1
3,0.6567308,0.25946108,1.3831079,-0.032766312,0.06608514,-0.3606933,0.6068766,0.6097324,0.21075663,0.17613906,0.2427414,0.09499422,0.26839608,0.84857136,-0.3408937,0.15138063,0.24465175,0.33861554,-0.86561877,-0.59469736,-0.34761024,0.08336088,0.11954378,0.13595237,0.20880218,0.46791637,-0.016275167,0.16537698,0.1825857,0.14299054,0.87848234,-0.55158746,-0.431739,0.5421727,-0.02149792,0.7453424,0.646315,0.9599312,-0.39362434,0.21620879,0.4258289,-0.4683974,-0.63119143,0.01949005,0.0030070515,0.6306105,0.7110743,0.1654647,-0.7123058,0.6254002,0.64512616,-0.61699647,-0.3708473,0.62403995,0.023584308,0.8444404,0.4890237,0.8759248,-0.53259414,0.6424202,0.4818466,-0.6505018,0.7754076,-0.5708772,0.074555814,0.805353,0.2716672,-0.61692685,0.59643745,0.59570366,0.5487234,-0.6505576,-0.056760553,0.23632373,0.10930509,-0.2628218,0.26015627,0.42294264,-0.060523584,0.17570989,0.18724626,-0.47388694,0.28176698,0.14353538,0.79925174,-0.4824874,0.25256634,-0.50343823,-0.7785694,0.67791796,4,1
4,0.6574314,0.27081516,1.3831079,-0.032766312,0.06608514,-0.35623676,0.60783315,0.60984,0.21075663,0.17780222,0.2427414,0.09641924,0.26839608,0.84881043,-0.3408937,0.15138063,0.2537118,0.34168243,-0.8624438,-0.59469736,-0.34761024,0.08336088,0.11954378,0.13595237,0.20880218,0.46791637,-0.016275167,0.16537698,0.1825857,0.14564,0.8796404,-0.55198276,-0.43206623,0.54303813,0.032841187,0.7355619,0.6467157,0.9538839,-0.39229408,0.20768496,0.42598504,-0.46797898,-0.6318701,0.019482695,0.0092926705,0.63045025,0.7048459,0.16706888,-0.70925075,0.62840515,0.64598197,-0.61392146,-0.37089086,0.6240684,0.023625324,0.84434044,0.4875429,0.87706846,-0.52741283,0.646996,0.48095194,-0.6505018,0.77263534,-0.5708772,-0.022374228,0.8047236,0.27053252,-0.61740965,0.59658027,0.5935373,0.5487234,-0.6482812,-0.056760553,0.23632373,0.0059956615,-0.26132122,0.26167214,0.42207173,-0.06084277,0.1791926,0.1873064,-0.47466382,0.28207263,0.14300983,0.7985508,-0.48248422,0.25259867,-0.503467,-0.7785054,0.676722,4,1
5,0.65749514,0.27184725,1.3810259,-0.032766312,0.05120864,-0.3558316,0.60792005,0.60984975,0.21015139,0.17795342,0.22827038,0.09654878,0.2676721,0.84883213,-0.3423045,0.14704889,0.2545354,0.34196126,-0.86215514,-0.59469736,-0.34761024,0.07797291,0.10069389,0.13558838,0.20880218,0.46791637,-0.022590514,0.16537698,0.1825857,0.14588086,0.8784087,-0.5566734,-0.43250448,0.54299647,-0.019372536,0.7257814,0.64682597,0.94790787,-0.3913901,0.19936615,0.4260168,-0.4708947,-0.63193077,0.019644074,0.0032905708,0.63029003,0.6987065,0.16864684,-0.7063906,0.6312012,0.6459072,-0.61413604,-0.37036335,0.6243197,0.0041183014,0.8442404,0.48613116,0.87813544,-0.5223188,0.65148985,0.48087093,-0.65350425,0.7723833,-0.5708772,-0.012147609,0.80408466,0.2693722,-0.61790764,0.596374,0.59169614,0.5480632,-0.64807427,-0.05683398,0.2374751,-0.01990253,-0.25982067,0.2631104,0.42123297,-0.061155133,0.18261409,0.18773304,-0.47454152,0.28270915,0.14323218,0.79848635,-0.4825481,0.25217715,-0.50310725,-0.7784413,0.67551947,4,1
6,0.65793467,0.2648097,1.3790596,-0.004947428,0.029394167,-0.32179984,0.60696363,0.6095563,0.20875937,0.17765103,0.22103485,0.096937425,0.26700604,0.8485899,-0.34366113,0.14286153,0.26139018,0.3445263,-0.85990375,-0.5944836,-0.34944808,0.06707265,0.08238257,0.13540639,0.20708564,0.46794754,-0.028559692,0.16934808,0.19201201,0.14939053,0.8780611,-0.5707193,-0.43303826,0.54234517,-0.021095326,0.71643263,0.6466637,0.94219404,-0.39092612,0.19157115,0.42570162,-0.47248507,-0.6312611,0.020037085,-0.017716767,0.6301412,0.6926318,0.1702047,-0.70358443,0.63394725,0.6448878,-0.6121714,-0.36982942,0.62453014,-0.023456827,0.8441897,0.48475772,0.8791642,-0.51727355,0.65617514,0.479022,-0.6547507,0.77058583,-0.57107365,-0.045937195,0.80344474,0.2680818,-0.61845505,0.5959579,0.59004897,0.54725015,-0.6434693,-0.055568434,0.23856696,-0.030316606,-0.25819123,0.26437223,0.4204483,-0.061449073,0.18632568,0.18855633,-0.4737522,0.2834425,0.14380854,0.7972166,-0.48286703,0.25229198,-0.5027378,-0.77843094,0.67425,4,1
7,0.65859395,0.25425333,1.3776716,0.038264547,0.007829834,-0.26791635,0.6055289,0.60911614,0.20712526,0.17719744,0.22569776,0.097693115,0.26654994,0.84822655,-0.34463787,0.13982931,0.27167237,0.3483739,-0.85652673,-0.59416306,-0.35220486,0.054763224,0.06905301,0.13552773,0.20451091,0.46799424,-0.032776687,0.17795213,0.20900129,0.15499914,0.8785419,-0.5888851,-0.43353266,0.54145837,0.016629387,0.7074796,0.64629865,0.93672264,-0.3907926,0.18424916,0.42521554,-0.4717015,-0.63025725,0.020505326,-0.03857796,0.63000685,0.6866253,0.17174092,-0.70077884,0.6367153,0.64347386,-0.608854,-0.36942717,0.6246591,-0.043605186,0.84417987,0.4834125,0.880162,-0.5122799,0.6610094,0.47624785,-0.65445745,0.7678896,-0.5713683,-0.096464075,0.802808,0.26668864,-0.6190398,0.5954027,0.5885483,0.5465264,-0.6358267,-0.05361505,0.23934159,-0.029536296,-0.25644183,0.2654057,0.41974086,-0.06169294,0.19033474,0.18947533,-0.4727131,0.2840858,0.14447054,0.7953125,-0.48329735,0.2527825,-0.5024555,-0.77846366,0.672921,4,1
8,0.65859395,0.25425333,1.3776716,0.0464248,0.007829834,-0.25231838,0.6055289,0.60911614,0.20712526,0.17719744,0.25134367,0.09864313,0.26654994,0.84822655,-0.34463787,0.13982931,0.27167237,0.3483739,-0.85652673,-0.59416306,-0.35220486,0.054763224,0.06905301,0.13619502,0.20451091,0.46799424,-0.032776687,0.19251284,0.22467527,0.1568916,0.8785419,-0.59211993,-0.43353266,0.54145837,0.0025698368,0.69868845,0.6459339,0.9313858,-0.39065588,0.17716818,0.42521554,-0.46645576,-0.63025725,0.020505326,-0.0071197515,0.62989545,0.68071854,0.17324455,-0.697847,0.63969105,0.64347386,-0.608854,-0.36942717,0.6246591,-0.0074082036,0.84417003,0.4820779,0.8811366,-0.5073692,0.6657648,0.47624785,-0.6549466,0.7678896,-0.5713683,-0.017064612,0.80218565,0.2653136,-0.6196133,0.5948779,0.5871017,0.5465264,-0.63178337,-0.05361505,0.23934159,-0.0074176206,-0.25463557,0.26604655,0.4191894,-0.061778072,0.19457111,0.18947533,-0.4727131,0.2840858,0.14447054,0.7953125,-0.48329735,0.2527825,-0.5024555,-0.77848876,0.6715725,4,1
9,0.65859395,0.24623059,1.3776716,0.04790845,-0.010890868,-0.24948245,0.60409415,0.60876393,0.20630819,0.17674384,0.2560065,0.09881586,0.266159,0.84805894,-0.34532163,0.13766344,0.26688996,0.3483739,-0.85652673,-0.59416306,-0.35427245,0.04543789,0.059661716,0.13631634,0.20451091,0.46799424,-0.03461019,0.19516024,0.22752507,0.15723568,0.8786488,-0.59264475,-0.43349993,0.5408457,0.0025662223,0.6898973,0.64523757,0.9260573,-0.39101988,0.170264,0.42480096,-0.46563664,-0.629249,0.020748584,-0.02335052,0.6297839,0.6749061,0.17472072,-0.6949456,0.6425987,0.64280766,-0.61082083,-0.36911005,0.6247598,-0.014787462,0.84416026,0.48078772,0.882063,-0.50261223,0.67036724,0.47588873,-0.6538066,0.7679396,-0.57162184,-0.011045395,0.8015634,0.2637943,-0.6202382,0.5941884,0.58584344,0.54633635,-0.63104826,-0.053636078,0.23967585,-0.008148778,-0.25282934,0.26665792,0.41865012,-0.061861478,0.1987386,0.18985318,-0.47203746,0.2841766,0.14493693,0.79459333,-0.48360464,0.25253838,-0.502379,-0.7785139,0.670224,4,1
