file,status,rows,out
label_0/IMU_Label_Plus_ALL.csv,ok,36535,IMU_Label_Plus_ALL_ekf.csv
label_1/IMU_label_1_jungro.csv,ok,8608,IMU_label_1_jungro_ekf.csv
