Timestep,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,IMU1_a_mag,IMU1_g_mag,IMU1_pitch,IMU1_roll,IMU1_jerk_a_mag,IMU1_yaw_int,IMU2_a_mag,IMU2_g_mag,IMU2_pitch,IMU2_roll,IMU2_jerk_a_mag,IMU2_yaw_int,IMU3_a_mag,IMU3_g_mag,IMU3_pitch,IMU3_roll,IMU3_jerk_a_mag,IMU3_yaw_int,IMU4_a_mag,IMU4_g_mag,IMU4_pitch,IMU4_roll,IMU4_jerk_a_mag,IMU4_yaw_int,IMU5_a_mag,IMU5_g_mag,IMU5_pitch,IMU5_roll,IMU5_jerk_a_mag,IMU5_yaw_int,IMU1_qw,IMU1_qx,IMU1_qy,IMU1_qz,IMU2_qw,IMU2_qx,IMU2_qy,IMU2_qz,IMU3_qw,IMU3_qx,IMU3_qy,IMU3_qz,IMU4_qw,IMU4_qx,IMU4_qy,IMU4_qz,IMU5_qw,IMU5_qx,IMU5_qy,IMU5_qz,REL_LH_pitch,REL_LH_roll,REL_RH_pitch,REL_RH_roll,REL_LK_pitch,REL_LK_roll,REL_RK_pitch,REL_RK_roll,REL_THIGH_yaw,REL_ANKLE_yaw,move,label
0,0.89006084,0.55334985,0.14478965,-0.36195642,0.08721503,-0.40748692,0.42184404,0.6110235,0.10408504,0.25657645,-0.018943088,0.07744054,0.14731225,0.8478073,-0.64270884,0.14596595,0.1154471,0.32565084,-0.3504024,-0.5363221,1.5435371,0.38860977,0.13570084,0.25533786,-0.4442148,0.26601595,2.8614066,0.16317081,0.2012191,0.12248303,0.75074303,-0.467758,-0.78719604,0.44523966,1.3567397e-05,0.774202,0.35935223,0.8268208,-0.7353512,0.09938463,0.42635497,-0.47502974,-0.4983396,0.047904935,-0.0014001053,0.6307777,0.65558136,0.18211524,-0.6074992,0.48962235,0.61579376,-0.6615336,-0.28109178,0.67770255,-0.00082696596,0.8447269,0.4352745,0.91782176,-0.50933415,0.5807907,0.6580183,-0.5816043,0.29809722,-0.33907515,-0.0026284144,0.8101098,0.82794756,-0.41124123,0.42613214,0.41046044,0.57861096,-0.66104686,0.4566563,-0.31258616,-0.0033960624,-0.2676835,1.2309015,-0.03364435,0.11700003,-0.015739532,0.6076487,-0.37232357,0.66693896,0.24675725,0.49512213,-0.30092236,0.39335904,-0.84992814,-0.77884895,0.6836243,5,2
1,0.89006084,0.55334985,0.14478965,-0.36195642,0.08721503,-0.40748692,0.42184404,0.61113393,0.10476858,0.25657645,0.007388519,0.07744054,0.14731225,0.8478073,-0.64270884,0.14596595,0.1154471,0.32565084,-0.28216192,-0.5356516,1.5504559,0.08013541,0.13532066,0.11762488,-0.4442148,0.26601595,2.8614066,0.14572911,0.2012191,0.12248303,0.75074303,-0.467758,-0.78719604,0.44523966,1.3567397e-05,0.7636666,0.36004448,0.8197391,-0.73353755,0.08737937,0.4264506,-0.4727286,-0.49833912,0.04771365,0.0036626966,0.6301911,0.6464225,0.18446666,-0.60535663,0.49040756,0.61579376,-0.6615336,-0.28109178,0.67770255,-0.00082696596,0.84438884,0.4337547,0.91893625,-0.5051141,0.5834743,0.64963543,-0.5799697,0.23896864,-0.3381468,-0.1989504,0.80819666,0.82576275,-0.4124017,0.42473027,0.40489376,0.57861096,-0.65848154,0.4566563,-0.31258616,-0.0033960624,-0.26678953,1.2328573,-0.03478375,0.11811922,-0.012913222,0.6076489,-0.3724246,0.66693896,0.24675725,0.4695383,-0.3000745,0.39335904,-0.84992814,-0.77864695,0.6818752,5,2
2,0.89006084,0.5515698,0.14315124,-0.37133852,0.08591633,-0.42132127,0.42184404,0.6111702,0.10499288,0.25122222,0.016028574,0.07744054,0.14731225,0.8481137,-0.64155585,0.1494356,0.1154471,0.32565084,-0.2597705,-0.53543156,1.5527264,-0.02108274,0.13519593,0.072437815,-0.44025058,0.26471615,2.8689816,0.1374949,0.2117544,0.1270958,0.7502154,-0.4650868,-0.7875832,0.44466913,-0.012610873,0.75295573,0.36065364,0.81268793,-0.73177576,0.07538187,0.42648193,-0.4741821,-0.49833894,0.04765076,0.001922358,0.6296046,0.6375871,0.18673128,-0.6032432,0.491182,0.61705714,-0.6609861,-0.28117695,0.6775216,0.025632141,0.8440507,0.43220365,0.92007005,-0.5009554,0.586118,0.6468849,-0.57943326,0.21956708,-0.33784217,-0.1314647,0.80628353,0.82359743,-0.4135447,0.42334712,0.39940137,0.5780642,-0.6517924,0.45355558,-0.31423634,-0.017065084,-0.2657262,1.2348987,-0.03598405,0.119224966,-0.009694126,0.60804766,-0.37194836,0.66728747,0.24697712,0.4611436,-0.2997963,0.39216936,-0.8506245,-0.77844495,0.6800391,5,2
3,0.892979,0.5465523,0.14155102,-0.38554248,0.078412265,-0.44033897,0.42133766,0.6112841,0.10722509,0.24266621,0.022895226,0.08230238,0.14731225,0.8484129,-0.64042974,0.15282455,0.112352595,0.32565084,-0.2597705,-0.53543156,1.5523696,-0.02108274,0.13519593,0.072437815,-0.4363786,0.26344645,2.87638,0.13504218,0.22970435,0.1316013,0.756431,-0.46284994,-0.7885688,0.44362915,0.1425421,0.74208933,0.3610414,0.8056231,-0.7302064,0.0634226,0.4265269,-0.47758836,-0.49797547,0.04704582,0.0009840942,0.6291606,0.6291272,0.18889537,-0.60127854,0.49218804,0.61829084,-0.6614961,-0.2812602,0.6773448,0.0379387,0.8437126,0.43064934,0.92120165,-0.49690393,0.588674,0.6467512,-0.57943326,0.21957408,-0.33788055,-0.0057544666,0.8043704,0.8214506,-0.414671,0.42198262,0.3939826,0.5775301,-0.64407974,0.45052698,-0.31584835,-0.023422766,-0.2645802,1.2369714,-0.037207667,0.120455734,-0.006214402,0.6092115,-0.37133902,0.66822654,0.24749753,0.4608796,-0.29958895,0.39100733,-0.8513047,-0.77819616,0.6781604,5,2
4,0.9013356,0.53716344,0.14155102,-0.39997557,0.060555823,-0.45610365,0.41988763,0.61161554,0.11368682,0.23314074,0.0425588,0.096240155,0.14733139,0.8484112,-0.6403934,0.15298168,0.103064395,0.32566887,-0.25996238,-0.53542584,1.551348,-0.019875923,0.13529691,0.07282536,-0.4363786,0.26344645,2.87638,0.13504218,0.2516389,0.1316013,0.7757073,-0.46391585,-0.79030836,0.44224685,0.6148354,0.73108953,0.36108324,0.7985063,-0.7289564,0.05153283,0.42665917,-0.48116618,-0.49693465,0.045294836,0.007875035,0.62898934,0.62108684,0.19094749,-0.5995722,0.49364623,0.6182855,-0.6646031,-0.28127384,0.67733806,-0.0009356226,0.84337485,0.42911625,0.9223125,-0.49300858,0.5910927,0.64636844,-0.57991797,0.2197618,-0.33798906,-0.014590563,0.8024676,0.81933945,-0.41577205,0.4206531,0.38865831,0.5775301,-0.63834906,0.45052698,-0.31584835,-0.0033960624,-0.26343417,1.2390229,-0.038419284,0.12193722,-0.0026044496,0.6114284,-0.37102944,0.6699358,0.24836722,0.4601961,-0.29898617,0.39101747,-0.851298,-0.77785814,0.6762887,5,2
5,0.9013356,0.53716344,0.14155102,-0.39997557,0.060555823,-0.45610365,0.41988763,0.61194694,0.1181299,0.23314074,0.0425588,0.09721558,0.14855792,0.84830606,-0.6380645,0.16303813,0.075757794,0.3268235,-0.27224132,-0.535057,1.551348,0.05735969,0.14175972,0.09762739,-0.4363786,0.26344645,2.87638,0.13504218,0.2516389,0.1316013,0.7757073,-0.46391585,-0.79030836,0.44224685,0.14639974,0.72008973,0.361093,0.7915363,-0.7277158,0.039880615,0.42686677,-0.48121887,-0.49693364,0.04408282,0.011936401,0.6288462,0.61326295,0.19294006,-0.5979374,0.49511027,0.6179537,-0.67198205,-0.2821471,0.6769109,-0.007889544,0.8430589,0.4275089,0.9234921,-0.48967448,0.5930787,0.6462959,-0.6109353,0.2304953,-0.33788836,-0.007180662,0.8012115,0.8184455,-0.41625184,0.42039528,0.38479206,0.5775301,-0.63834906,0.45052698,-0.31584835,-0.0033960624,-0.26228818,1.2410244,-0.039609168,0.123389654,0.00093429344,0.61142874,-0.3716695,0.66959715,0.24803391,0.4648395,-0.2984227,0.3916662,-0.85086703,-0.77753633,0.6748527,5,2
6,0.9013356,0.5349776,0.14125168,-0.42157608,0.049209103,-0.47655126,0.41909996,0.61205053,0.11951838,0.23314074,0.04006184,0.09752039,0.14894117,0.8482731,-0.63733673,0.16618077,0.06722449,0.3271843,-0.2760785,-0.5348496,1.5531317,0.081495814,0.14377935,0.105378024,-0.436282,0.26481682,2.880493,0.14275078,0.30270347,0.13712287,0.77563316,-0.45982715,-0.79036283,0.441868,-0.0017550231,0.7088306,0.36078534,0.78443336,-0.72675353,0.028168956,0.4269291,-0.4815227,-0.49636838,0.043704048,0.0055047413,0.6287032,0.6055424,0.19490334,-0.5963391,0.49651623,0.6178499,-0.674288,-0.28242,0.6767774,-0.005281822,0.8427429,0.4259197,0.92465323,-0.48638657,0.59503776,0.6465793,-0.6206281,0.2338329,-0.3376395,0.0034525485,0.7999555,0.8175688,-0.41672012,0.4201411,0.3809783,0.5818057,-0.6214701,0.4505818,-0.3160709,0.103486516,-0.26093948,1.2428187,-0.04068835,0.12555732,0.0053869477,0.61171556,-0.37153125,0.6695449,0.24816957,0.4658683,-0.2980658,0.39189106,-0.8508508,-0.7772145,0.67331254,5,2
7,0.90344274,0.53065574,0.14084753,-0.46328267,0.031368922,-0.5149264,0.41801307,0.61212987,0.121974885,0.2333453,0.031861585,0.10163923,0.14838287,0.8482731,-0.63733673,0.16618077,0.054499526,0.3271843,-0.27935877,-0.53476363,1.554794,0.081495814,0.14377935,0.105378024,-0.436192,0.26609382,2.8843253,0.1499338,0.3502863,0.14226796,0.7803864,-0.45034015,-0.790878,0.44115466,0.11287083,0.6972084,0.3601182,0.77710664,-0.72609824,0.016279316,0.4269294,-0.48230895,-0.4955888,0.04304215,-0.0014511042,0.628681,0.5979485,0.19683126,-0.5949837,0.49796602,0.6179774,-0.6782427,-0.2820209,0.6767774,0.0018442549,0.84242696,0.42436394,0.92578834,-0.48333868,0.59675866,0.6472448,-0.6206281,0.23666297,-0.33743694,0.016369145,0.7986994,0.8167031,-0.4171793,0.41991454,0.37723237,0.58578974,-0.60574204,0.45063287,-0.31627816,0.14721115,-0.25949863,1.2445008,-0.041710936,0.12803221,0.010219962,0.6125645,-0.37124375,0.6702075,0.24862112,0.46652,-0.29763547,0.3916152,-0.85096127,-0.7768531,0.671725,5,2
8,0.9091228,0.52449584,0.14051002,-0.52145135,0.011779346,-0.56701064,0.41706172,0.61234397,0.12859681,0.23395008,0.016028574,0.11276507,0.14682166,0.84827095,-0.6372678,0.16643558,0.018743997,0.32721055,-0.28840157,-0.5347406,1.5552318,0.08300252,0.14396943,0.10576342,-0.4362227,0.26609382,2.8843253,0.1499338,0.3502863,0.1422032,0.7933848,-0.43503666,-0.79213,0.44018328,0.41627398,0.68514925,0.35906708,0.76949406,-0.72576416,0.0041282345,0.42693684,-0.48368278,-0.49490643,0.041258182,-0.00087099173,0.6288748,0.5905002,0.19871895,-0.5940331,0.49954063,0.6183359,-0.6892457,-0.28090495,0.6767649,0.009120935,0.8421115,0.42285243,0.92689353,-0.48070642,0.5980528,0.6483679,-0.6210088,0.24450314,-0.33738354,0.03181039,0.7974536,0.81586826,-0.41761824,0.4197527,0.373587,0.5857886,-0.60577595,0.4506567,-0.31627816,-0.0034291921,-0.2580602,1.2461487,-0.0427222,0.1304762,0.014983337,0.61413276,-0.37131846,0.67187446,0.24922618,0.4694109,-0.2968849,0.39079586,-0.8509486,-0.77642125,0.6701455,5,2
9,0.9091228,0.52449584,0.14051002,-0.52145135,0.011779346,-0.56701064,0.41706172,0.61234397,0.12859681,0.23565774,0.016028574,0.11349663,0.14502278,0.84820086,-0.63506144,0.17458946,-0.027767275,0.32805026,-0.2948127,-0.534003,1.5692427,0.13121627,0.15005209,0.11809593,-0.43720612,0.26609382,2.8843253,0.1499338,0.3502863,0.14013058,0.7933848,-0.43503666,-0.79213,0.44018328,0.09530192,0.6730902,0.35800412,0.7620374,-0.72542083,-0.0077837454,0.42693684,-0.48292083,-0.49490643,0.041258182,-0.0012789831,0.6290894,0.58312637,0.2005845,-0.5931289,0.50111014,0.61880684,-0.70020723,-0.2796232,0.6763627,0.011552965,0.84181166,0.42131916,0.92803496,-0.47885826,0.59860194,0.6514966,-0.63318926,0.24992767,-0.3356735,0.0802981,0.7965242,0.8158497,-0.41765505,0.42016268,0.37062687,0.58574605,-0.60686177,0.45141962,-0.31627816,-0.0044893324,-0.25669542,1.2477558,-0.04371558,0.1329499,0.019524287,0.61413276,-0.37131846,0.6723718,0.24891241,0.47175798,-0.2954626,0.390152,-0.8505429,-0.77600074,0.66881716,5,2
