Timestep,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,IMU1_a_mag,IMU1_g_mag,IMU1_pitch,IMU1_roll,IMU1_jerk_a_mag,IMU1_yaw_int,IMU2_a_mag,IMU2_g_mag,IMU2_pitch,IMU2_roll,IMU2_jerk_a_mag,IMU2_yaw_int,IMU3_a_mag,IMU3_g_mag,IMU3_pitch,IMU3_roll,IMU3_jerk_a_mag,IMU3_yaw_int,IMU4_a_mag,IMU4_g_mag,IMU4_pitch,IMU4_roll,IMU4_jerk_a_mag,IMU4_yaw_int,IMU5_a_mag,IMU5_g_mag,IMU5_pitch,IMU5_roll,IMU5_jerk_a_mag,IMU5_yaw_int,IMU1_qw,IMU1_qx,IMU1_qy,IMU1_qz,IMU2_qw,IMU2_qx,IMU2_qy,IMU2_qz,IMU3_qw,IMU3_qx,IMU3_qy,IMU3_qz,IMU4_qw,IMU4_qx,IMU4_qy,IMU4_qz,IMU5_qw,IMU5_qx,IMU5_qy,IMU5_qz,REL_LH_pitch,REL_LH_roll,REL_RH_pitch,REL_RH_roll,REL_LK_pitch,REL_LK_roll,REL_RK_pitch,REL_RK_roll,REL_THIGH_yaw,REL_ANKLE_yaw,move,label
0,-2.094549,-0.17503811,0.16375884,0.641378,0.22070855,1.0586121,0.018824259,-0.6239052,0.42500767,-0.017092107,0.06426535,0.100435205,-0.6686732,0.6423802,0.7509479,-0.16483693,0.6291573,0.4449817,-0.00952256,-0.5757733,0.9519792,-0.11930948,-0.6070184,0.21511807,-0.9048716,0.4623102,0.48427093,0.09643425,-0.040467076,-0.0075813625,0.86102635,-0.5687496,1.683532,0.3453506,1.3567397e-05,0.79280066,0.3483745,0.64037216,1.8212332,0.7166483,-0.8835262,-0.55691516,0.07558079,0.077909894,-0.0014001053,0.63145226,0.5107199,0.18446563,-0.11356648,-0.06986764,0.6477464,-0.45277005,0.3256273,0.3893231,-0.00082696596,0.8470148,0.6676016,0.6393146,-0.17295347,0.3760978,0.58287275,-0.43585443,0.0025746939,-0.4141558,-0.0026284144,0.80904424,0.67489797,-0.4820013,0.2994208,0.32541,0.5300975,-0.60425436,0.81613564,0.1450671,-0.0033960624,-0.27245808,0.44754523,0.3587817,0.25614578,-0.12129415,-1.7033374,-0.26728064,-1.5328875,0.084991135,-0.054415144,-0.3752472,0.08791586,-0.31527072,-0.7812979,0.68536246,5,0
1,-2.0987725,-0.18360743,0.1676166,0.77147216,0.237645,1.115719,0.018479005,-0.6242159,0.42260456,-0.017092107,0.07958762,0.101292506,-0.6559676,0.64896476,0.7521545,-0.16789463,0.63253313,0.43885607,-0.01548205,-0.57586753,0.9535604,-0.088371344,-0.5217484,0.20278554,-0.89716715,0.46301097,0.49381596,0.108405955,-0.010872847,0.03996319,0.8721125,-0.55030614,1.683443,0.3451411,0.26520807,0.79596376,0.34499782,0.6407504,1.824649,0.7172777,-0.8837042,-0.55280125,0.07617179,0.079294205,-0.010825489,0.6314221,0.50943166,0.18480566,-0.11224376,-0.06846395,0.6612321,-0.4531869,0.31338772,0.39097047,0.2816449,0.84787095,0.6676877,0.6388714,-0.1666645,0.38500112,0.5840126,-0.47261927,0.0077917874,-0.4139999,0.024075653,0.8093735,0.6728936,-0.48284602,0.29523677,0.32972872,0.5328554,-0.6471043,0.81002736,0.14346693,0.06555191,-0.2726119,0.4495711,0.35788882,0.25594726,-0.121776186,-1.7030042,-0.2663626,-1.5375482,0.08640903,-0.05259204,-0.37566534,0.09453976,-0.31778485,-0.782307,0.6856635,5,0
2,-2.1025271,-0.19122452,0.1710458,0.8871114,0.25269958,1.1664805,0.018172123,-0.62449205,0.42046845,-0.017092107,0.09320741,0.102054544,-0.64466095,0.65481764,0.753227,-0.17061259,0.6355338,0.43341106,-0.020779388,-0.5759514,0.9553442,-0.060870785,-0.44526976,0.19182332,-0.8901651,0.46363387,0.50240827,0.11904746,0.015433127,0.082225,0.88196653,-0.53391194,1.6833637,0.34495494,0.4714703,0.7991268,0.34162658,0.6411283,1.8280563,0.7179054,-0.8838624,-0.5491445,0.07669712,0.080524735,-0.018156338,0.63139194,0.508147,0.18514468,-0.11092403,-0.067063354,0.67321247,-0.45355743,0.30249965,0.39243487,0.50119215,0.848727,0.6677688,0.6384269,-0.1603906,0.39388546,0.58514494,-0.50554806,0.012426638,-0.41381878,0.04762209,0.8097028,0.6708927,-0.4836876,0.29107463,0.33402818,0.5353168,-0.6851931,0.80447716,0.14202529,0.119416416,-0.27276567,0.45159313,0.35699776,0.25574833,-0.12225635,-1.7027084,-0.26554662,-1.5416945,0.08766934,-0.05097263,-0.37600175,0.10038528,-0.3200299,-0.7833162,0.6859645,5,0
3,-2.1025271,-0.19122452,0.1710458,0.8871114,0.25269958,1.1664805,0.018172123,-0.62449205,0.42046845,-0.017092107,0.09320741,0.102054544,-0.64454585,0.65481764,0.753227,-0.17061259,0.6355338,0.43341106,-0.020779388,-0.5759514,0.95874953,-0.060870785,-0.43912178,0.19182332,-0.88878214,0.46363387,0.50337887,0.11904746,0.015433127,0.082225,0.88196653,-0.53391194,1.6833637,0.34495494,0.2062759,0.80228984,0.33830097,0.64150316,1.8313957,0.71851987,-0.8838624,-0.5491445,0.07669712,0.080524735,-0.008730957,0.6313617,0.5068821,0.18547732,-0.109627865,-0.06568764,0.6731471,-0.45355743,0.30242306,0.39243487,0.21734343,0.8495831,0.6678105,0.6379725,-0.15423751,0.4026179,0.5862123,-0.50778943,0.012403548,-0.41343635,0.045907497,0.810032,0.668921,-0.48450485,0.2870878,0.3381731,0.5354026,-0.6851931,0.8033921,0.14185147,0.05261341,-0.27291948,0.45358372,0.3561196,0.2555458,-0.12272173,-1.7027084,-0.26554662,-1.5417242,0.08766934,-0.050982628,-0.37568355,0.100003704,-0.32012242,-0.7843253,0.68626547,5,0
4,-2.1025271,-0.19263203,0.1710458,0.8871114,0.25269958,1.1655868,0.018172123,-0.62449205,0.41988102,-0.017092107,0.09320741,0.102054544,-0.6444565,0.65481764,0.753227,-0.17061259,0.62850094,0.43234503,-0.020779388,-0.57596713,0.9613982,-0.060870785,-0.43434003,0.18865456,-0.8877066,0.46363387,0.5041339,0.11904746,0.015433127,0.082225,0.8819897,-0.5339452,1.6833475,0.344761,0.0005652925,0.80544156,0.33498678,0.64186513,1.8347175,0.71912974,-0.88383937,-0.5491445,0.07668693,0.08084821,-0.00018163525,0.63133156,0.5056055,0.18581301,-0.10833854,-0.0643186,0.67309564,-0.45631957,0.30236346,0.39243487,-0.0031217993,0.85041875,0.6678614,0.63749945,-0.14820196,0.41115832,0.58710617,-0.5097258,0.012384201,-0.41314256,0.04052163,0.8102774,0.66695756,-0.48531848,0.28300762,0.34211728,0.5354693,-0.6851931,0.80254817,0.14171647,0.00017886651,-0.2730733,0.4555647,0.3552453,0.25534415,-0.12318502,-1.7026957,-0.26520258,-1.5417314,0.08779211,-0.050983492,-0.3755673,0.09970694,-0.32019433,-0.78531057,0.6865099,5,0
5,-2.1025271,-0.19896585,0.1710458,0.8871114,0.25269958,1.1615653,0.018172123,-0.62449205,0.41723758,-0.017092107,0.09320741,0.102054544,-0.6444565,0.65481764,0.753227,-0.17061259,0.5968526,0.42754784,-0.020779388,-0.5760378,0.9613982,-0.060870785,-0.43434003,0.1743951,-0.8877066,0.46363387,0.5041339,0.11904746,0.015433127,0.082225,0.8820934,-0.534095,1.6832747,0.34388834,0.0030480518,0.80855364,0.33171237,0.6421823,1.8379778,0.7197233,-0.88373584,-0.5491445,0.076641016,0.08230443,0.005301472,0.6313014,0.50428313,0.18615915,-0.107073136,-0.062972955,0.67309564,-0.4687492,0.30236346,0.39243487,-0.0017448993,0.8511829,0.6679437,0.63696164,-0.14257783,0.41902676,0.58739424,-0.5105947,0.012377973,-0.4131587,0.022286328,0.8102289,0.6650233,-0.48611975,0.2786009,0.34535897,0.5354693,-0.6851931,0.80254817,0.14171647,-0.0019660909,-0.2732271,0.4575136,0.3543846,0.2551456,-0.12364111,-1.7026397,-0.2636543,-1.5416597,0.0883445,-0.050952468,-0.3761569,0.09970694,-0.32019433,-0.7862123,0.6865564,5,0
6,-2.103581,-0.21399318,0.17200512,0.88547504,0.2564284,1.1371675,0.01913114,-0.6244144,0.4148345,-0.016558466,0.093633026,0.10102578,-0.6412753,0.6564617,0.753543,-0.17048518,0.56668127,0.42314428,-0.018767424,-0.5761007,0.962655,-0.051874597,-0.4150941,0.16010351,-0.88721275,0.4641698,0.509904,0.1163222,0.022783328,0.08583791,0.88507134,-0.5302558,1.6831046,0.34206888,0.07346204,0.8113902,0.3283717,0.6422939,1.8412875,0.72019345,-0.88371176,-0.54889715,0.075207844,0.08361257,0.0047494657,0.631241,0.5029248,0.18651241,-0.10579749,-0.061642792,0.67652303,-0.48054367,0.2993237,0.39283782,0.07095692,0.8519239,0.66803706,0.6364144,-0.13714574,0.42667574,0.58795804,-0.51866776,0.010597941,-0.41303214,0.016567864,0.81005365,0.66326237,-0.48685077,0.27439892,0.3480186,0.5375759,-0.68443274,0.8021097,0.14076953,0.04926612,-0.27324826,0.45957348,0.35347995,0.254915,-0.123777024,-1.7030494,-0.26133874,-1.5426713,0.08981064,-0.050669685,-0.3765694,0.10178789,-0.3211053,-0.78709704,0.68644917,5,0
7,-2.1067426,-0.24640737,0.17488322,0.8805658,0.2676148,1.0720176,0.022008222,-0.62418133,0.412912,-0.014957547,0.09490988,0.09793951,-0.6317316,0.6613939,0.75449103,-0.17010298,0.5394637,0.41952795,-0.012731511,-0.57614785,0.96642536,-0.024886008,-0.35735643,0.1457477,-0.88573104,0.4657774,0.5272144,0.1081464,0.04483393,0.0966766,0.89379823,-0.5184389,1.6827396,0.33835596,0.2797385,0.81367576,0.32489806,0.64199436,1.8446968,0.7204168,-0.8838466,-0.5481552,0.07100015,0.08462475,-0.007872768,0.6311203,0.5014937,0.18688017,-0.10450123,-0.060343597,0.6868044,-0.49106786,0.29020438,0.39404693,0.2863086,0.85261863,0.6681528,0.63584846,-0.1320977,0.4338857,0.5890713,-0.541149,0.0052703335,-0.41262,0.03588308,0.8096248,0.66184807,-0.48744136,0.27060646,0.34951416,0.5438956,-0.6821519,0.8007945,0.13792829,0.20725267,-0.27300417,0.46185338,0.35248792,0.25462013,-0.12327261,-1.7043909,-0.25748867,-1.5458497,0.09310404,-0.049883313,-0.37662706,0.10803072,-0.32383814,-0.7879476,0.6860346,5,0
8,-2.108499,-0.2644152,0.1764821,0.8778385,0.27443352,1.035823,0.023606585,-0.62391376,0.41184396,-0.013534505,0.09561925,0.09622491,-0.6264297,0.664134,0.7550177,-0.1632656,0.5243429,0.41751885,-0.009378241,-0.576174,0.96851987,-0.009892352,-0.31244934,0.13777226,-0.88394207,0.46667057,0.5368313,0.103604294,0.05708426,0.1026981,0.89864653,-0.5111229,1.682537,0.33629325,0.3015545,0.81596136,0.32143342,0.6416956,1.8480862,0.72063273,-0.8837766,-0.547679,0.06859927,0.08515968,-0.004038175,0.63099957,0.50005543,0.18724896,-0.10321855,-0.0590555,0.6925162,-0.49766007,0.28513816,0.39471862,0.3102364,0.8533134,0.6681793,0.63536745,-0.12711048,0.44100177,0.5896893,-0.5581501,0.0023105515,-0.41239104,0.035027348,0.809196,0.660439,-0.48802784,0.26708472,0.35081434,0.5473739,-0.6808847,0.79930973,0.13634992,0.22397952,-0.2727601,0.46411276,0.35150474,0.2543223,-0.12276786,-1.7051618,-0.25536424,-1.5476155,0.094933696,-0.04939994,-0.37664828,0.11119426,-0.3253564,-0.78879815,0.6856201,5,0
9,-2.108499,-0.2644152,0.1764821,0.8778385,0.27579263,1.035823,0.023606585,-0.62360317,0.41184396,-0.012333816,0.09561925,0.09622491,-0.6264297,0.664134,0.7550177,-0.1483593,0.5243429,0.41751885,-0.009378241,-0.576174,0.96851987,-0.009892352,-0.28358048,0.13777226,-0.8817691,0.46667057,0.5368313,0.103604294,0.05708426,0.1026981,0.89864653,-0.509433,1.682537,0.33629325,0.09279535,0.81824696,0.3179802,0.6413978,1.8514512,0.7208393,-0.88345045,-0.54753494,0.06845685,0.08509751,0.020367412,0.6308789,0.49860904,0.18761952,-0.1019528,-0.05778124,0.6925162,-0.49933735,0.28513816,0.39471862,0.09488479,0.8540082,0.6680944,0.6349926,-0.122199416,0.44800037,0.5896893,-0.56830096,0.0023105515,-0.41239104,0.008957967,0.80876714,0.65903705,-0.48860908,0.26390135,0.3518703,0.5472992,-0.6808847,0.797613,0.13634992,0.06413201,-0.272516,0.46634647,0.35053217,0.25402072,-0.12226268,-1.7052202,-0.25539708,-1.5476155,0.094933696,-0.0492953,-0.37662366,0.1105087,-0.3253564,-0.7896488,0.6852056,5,0
