Timestep,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,IMU1_a_mag,IMU1_g_mag,IMU1_pitch,IMU1_roll,IMU1_jerk_a_mag,IMU1_yaw_int,IMU2_a_mag,IMU2_g_mag,IMU2_pitch,IMU2_roll,IMU2_jerk_a_mag,IMU2_yaw_int,IMU3_a_mag,IMU3_g_mag,IMU3_pitch,IMU3_roll,IMU3_jerk_a_mag,IMU3_yaw_int,IMU4_a_mag,IMU4_g_mag,IMU4_pitch,IMU4_roll,IMU4_jerk_a_mag,IMU4_yaw_int,IMU5_a_mag,IMU5_g_mag,IMU5_pitch,IMU5_roll,IMU5_jerk_a_mag,IMU5_yaw_int,IMU1_qw,IMU1_qx,IMU1_qy,IMU1_qz,IMU2_qw,IMU2_qx,IMU2_qy,IMU2_qz,IMU3_qw,IMU3_qx,IMU3_qy,IMU3_qz,IMU4_qw,IMU4_qx,IMU4_qy,IMU4_qz,IMU5_qw,IMU5_qx,IMU5_qy,IMU5_qz,REL_LH_pitch,REL_LH_roll,REL_RH_pitch,REL_RH_roll,REL_LK_pitch,REL_LK_roll,REL_RK_pitch,REL_RK_roll,REL_THIGH_yaw,REL_ANKLE_yaw,move,label
0,0.7829029,-0.097624905,0.93710047,0.024726048,0.058581065,-0.30721486,0.8957292,0.5401585,-0.80602795,0.20592508,0.2849486,0.08942367,1.1051233,0.66357505,1.6002303,0.15643434,0.20551574,0.33596683,1.5683095,2.169466,0.7870322,0.09890309,0.1791229,0.15214948,-0.87222075,0.48426774,0.3143664,0.101398125,0.1014756,0.14157979,0.8700984,-0.5711934,-0.56854886,0.47801307,1.3567397e-05,0.7754741,0.5422189,0.8603724,-0.5319209,0.1693108,0.42672783,-0.45025334,-0.8393948,0.29957753,-0.0014001053,0.6311292,-0.09264844,0.34889677,-0.88167423,0.8392913,0.78459597,-0.63013524,-0.9661412,0.25943124,-0.00082696596,0.8449247,0.81327325,0.531932,-0.8540958,0.87172514,0.48746523,-0.6418094,-1.4216553,1.8482958,-0.0026284144,0.807376,0.60793716,1.8597145,-0.28721443,0.6877902,0.5606433,-0.65282714,0.78984505,0.178732,-0.0033960624,-0.2669825,0.38483098,0.38632742,0.24604036,-0.11338545,0.2432007,-0.2686847,0.18564896,-0.100319624,0.0016086869,1.4189057,1.0368932,-0.1663111,-0.7789644,0.68142164,1,4
1,0.7829029,-0.09671412,0.93710047,0.024726048,0.058581065,-0.30721486,0.8957292,0.5401585,-0.80602795,0.20592508,0.2849486,0.08942367,1.1049124,0.66360515,1.6004412,0.15526646,0.20732087,0.33632764,1.5681227,2.1696389,0.78837,0.102121234,0.18238994,0.15391585,-0.87222075,0.48426774,0.3145641,0.10068437,0.1014756,0.14157979,0.87008387,-0.5711934,-0.56855476,0.4780962,-0.00033142042,0.7672433,0.54251534,0.8558645,-0.53085643,0.16158126,0.42672783,-0.45025334,-0.8393948,0.29957753,-0.0014001053,0.63085264,-0.09914812,0.35033655,-0.87845325,0.84246624,0.78476685,-0.6296838,-0.9659829,0.25941026,0.0027559362,0.844769,0.8127306,0.5329201,-0.84907466,0.8743919,0.48846686,-0.6414296,-1.421279,1.8481786,0.020828558,0.80714524,0.60920334,1.8593578,-0.28511837,0.68860185,0.56066823,-0.6526729,0.7898445,0.17869663,-0.0027700975,-0.2657606,0.38767672,0.3851432,0.24512348,-0.11102965,0.24320672,-0.26875886,0.18571612,-0.10038856,0.0017714965,1.4188082,1.0367755,-0.16630875,-0.77887356,0.6806375,1,4
2,0.7829029,-0.096217394,0.9365222,0.024726048,0.058581065,-0.3076617,0.8957292,0.54007226,-0.8069625,0.20592508,0.2849486,0.08942367,1.1047975,0.66362166,1.6014179,0.15462944,0.20830548,0.33652446,1.5680209,2.1697857,0.7890998,0.10405945,0.1852115,0.15487933,-0.8726598,0.48429072,0.3161999,0.097699545,0.105344124,0.14203519,0.86977047,-0.5711532,-0.5686823,0.47808334,-0.0076785744,0.75900686,0.5427992,0.8513988,-0.5298011,0.15391819,0.4267097,-0.45025334,-0.8393973,0.29984027,-0.0023587502,0.63057595,-0.10560826,0.3517646,-0.8752609,0.84561265,0.78534764,-0.62943757,-0.9658702,0.25927174,0.013285032,0.8446134,0.8121891,0.5338945,-0.8440987,0.8770337,0.4892179,-0.6408586,-1.4210324,1.8481274,0.027750077,0.8069143,0.61045754,1.8590047,-0.28302148,0.68942094,0.56094563,-0.65131515,0.7901805,0.178407,0.0038788796,-0.26452202,0.3905853,0.3839293,0.24426213,-0.10861424,0.24333723,-0.26860875,0.1858857,-0.1004885,0.0018799896,1.4186616,1.0368276,-0.16632324,-0.7787828,0.6798447,1,4
3,0.7829029,-0.096217394,0.93524987,0.024726048,0.058581065,-0.30864474,0.8957292,0.53988224,-0.80901843,0.20592508,0.2849486,0.08942367,1.1047975,0.66362166,1.6033139,0.15462944,0.20830548,0.33652446,1.5680209,2.169901,0.7890998,0.104461715,0.18749842,0.15487933,-0.8736256,0.48434106,0.31956133,0.09198946,0.11385488,0.1430371,0.8690973,-0.5710649,-0.5689562,0.4779554,-0.02342832,0.7507636,0.543068,0.8469836,-0.52875674,0.14633492,0.42666987,-0.45025334,-0.8394028,0.30041838,-0.004467768,0.6302993,-0.11202259,0.35317916,-0.8721031,0.84872466,0.7864191,-0.62943757,-0.96581227,0.2589923,0.032149553,0.84445775,0.8116488,0.5348523,-0.83917683,0.87964565,0.48966715,-0.640058,-1.4209417,1.8481551,0.01482906,0.8066835,0.6116977,1.8586559,-0.28092366,0.6902487,0.5615257,-0.64851326,0.7909204,0.17781287,0.017755466,-0.26326337,0.39357087,0.38268012,0.24346739,-0.106127344,0.2436171,-0.26818913,0.18617804,-0.100625575,0.0019233031,1.4184561,1.0370834,-0.1663579,-0.7786919,0.6790417,1,4
4,0.7829311,-0.08917983,0.93431777,0.025271535,0.05776793,-0.30873412,0.89688003,0.5395199,-0.8108074,0.20548038,0.2849486,0.088852145,1.1047975,0.66359425,1.6034862,0.15378009,0.20830548,0.33652446,1.5680209,2.1699638,0.7890998,0.10449828,0.18770632,0.15487933,-0.8737134,0.48434561,0.32004672,0.09147037,0.11462858,0.14333057,0.8685524,-0.5714529,-0.56921136,0.4785048,-0.021807067,0.74252033,0.54329914,0.8426784,-0.52775174,0.1389067,0.42654628,-0.45033473,-0.8402535,0.3009583,-0.009097756,0.63000596,-0.1183381,0.354567,-0.86899203,0.85177827,0.78643245,-0.62954915,-0.9658115,0.2589578,0.011697554,0.84430206,0.8111163,0.53577656,-0.83434445,0.8822084,0.48991317,-0.6399852,-1.4208922,1.8481705,0.008865353,0.80645263,0.61291224,1.8583132,-0.27886334,0.69106114,0.5616012,-0.6480903,0.79098713,0.17772661,0.006401887,-0.26199728,0.3964974,0.38145128,0.24267843,-0.103674084,0.24353264,-0.26839468,0.18642978,-0.10100028,0.0025697101,1.4182551,1.0371099,-0.16636905,-0.7786066,0.6782349,1,4
5,0.78295064,-0.083922274,0.9337462,0.026307896,0.057198737,-0.30730423,0.89768565,0.5392782,-0.8119289,0.20516908,0.2857998,0.08845207,1.1048998,0.66356415,1.6040608,0.15259098,0.20961833,0.33695087,1.5682926,2.1700737,0.789262,0.106399916,0.18889435,0.15517908,-0.8737134,0.48434561,0.3201725,0.08952375,0.11462858,0.14347225,0.86820805,-0.5719974,-0.5693746,0.47892782,-0.01516397,0.73429525,0.54352015,0.8384199,-0.5267556,0.131562,0.42646226,-0.45021683,-0.84084857,0.30129933,-0.009662314,0.62971085,-0.124600604,0.35594058,-0.8659005,0.85481334,0.78668416,-0.6292715,-0.96587014,0.25886318,0.003392574,0.8441546,0.8105922,0.5366777,-0.82954526,0.884789,0.49049917,-0.6397801,-1.4210273,1.848178,0.013971248,0.80622965,0.61408395,1.8579849,-0.2768087,0.6919053,0.5616173,-0.6475414,0.7909868,0.17770398,-0.0026562861,-0.26073048,0.39945796,0.38020593,0.24189606,-0.1012415,0.24345793,-0.26859233,0.18656795,-0.10134185,0.0029485007,1.4181263,1.0371531,-0.16628557,-0.7785314,0.67743295,1,4
6,0.78295064,-0.08301165,0.9337462,0.028107928,0.057198737,-0.30337197,0.89768565,0.5392782,-0.8119289,0.20516908,0.28814074,0.08845207,1.1051807,0.6635339,1.6056406,0.15095595,0.21322858,0.33812353,1.5690396,2.1702754,0.789708,0.111629404,0.1921614,0.15600339,-0.8737134,0.48434561,0.3201725,0.08417056,0.11462858,0.14347225,0.868194,-0.57273227,-0.5693804,0.4790111,-0.0027725731,0.7261018,0.54373,0.834224,-0.525768,0.12433626,0.42646226,-0.4497361,-0.84084857,0.30129933,-0.0026712127,0.62941575,-0.13078766,0.35729358,-0.86283517,0.8578263,0.78753865,-0.62829286,-0.9660224,0.25862044,0.023225203,0.84402144,0.8100812,0.53754455,-0.8247882,0.8874094,0.491717,-0.63921595,-1.421478,1.848174,0.037231393,0.8060207,0.61518604,1.8576804,-0.2747573,0.69280785,0.5616173,-0.6463555,0.7909868,0.17770398,-0.0032822506,-0.25946364,0.40248716,0.37892777,0.24112426,-0.09883922,0.24346395,-0.26866663,0.18651463,-0.10158393,0.0027534643,1.4181229,1.0372664,-0.16604072,-0.7784728,0.6766404,1,4
7,0.78295064,-0.08284602,0.93258274,0.028435232,0.056571458,-0.30265704,0.89768565,0.5390452,-0.8128902,0.20476885,0.28856635,0.08793769,1.1054618,0.6635285,1.6059281,0.15065868,0.21831572,0.3383367,1.5693282,2.1704063,0.78978896,0.11290936,0.1935573,0.15615326,-0.87331825,0.48442802,0.32081962,0.07998533,0.118980676,0.1457493,0.8675767,-0.57307935,-0.5696322,0.4789095,-0.014932276,0.7179085,0.5439077,0.83009213,-0.52481276,0.11722986,0.42629325,-0.44971818,-0.8408719,0.3015967,-0.010349547,0.62910557,-0.13687856,0.35862237,-0.8597988,0.86077297,0.7877376,-0.6265288,-0.9662102,0.2585763,0.013099139,0.8438883,0.8095727,0.5383913,-0.82002914,0.89004034,0.49236798,-0.6388394,-1.4216158,1.848196,0.028170044,0.80581164,0.61626434,1.8573828,-0.27272445,0.693708,0.5618901,-0.6431575,0.7906724,0.17759982,0.0034191227,-0.2581132,0.40556958,0.37762424,0.24033749,-0.096280254,0.24371378,-0.268419,0.18668991,-0.10155399,0.0027109885,1.4180237,1.0372789,-0.16605166,-0.77841926,0.67580485,1,4
8,0.78295064,-0.0809832,0.9312424,0.03301715,0.05580479,-0.3018527,0.8978007,0.538838,-0.8139049,0.20427968,0.29154566,0.087309,1.1056663,0.66347915,1.6059281,0.15034017,0.22225417,0.3383367,1.5694641,2.1704903,0.78978896,0.113201916,0.19427013,0.15615326,-0.8729012,0.48450133,0.32139483,0.07713028,0.1228492,0.14777333,0.8668403,-0.5743799,-0.5699329,0.47894564,-0.02740752,0.7097253,0.54407245,0.8260598,-0.5238769,0.11022399,0.42616704,-0.44918302,-0.84097266,0.30190307,-0.014045031,0.62878704,-0.1429093,0.35993564,-0.8567532,0.86371857,0.78762543,-0.62515837,-0.9663607,0.2585599,-0.0025690699,0.84375507,0.809068,0.539223,-0.8152957,0.89265865,0.4927492,-0.638596,-1.4216654,1.8482164,0.013006053,0.8056026,0.6173307,1.8570879,-0.27070665,0.6946026,0.56213,-0.6405065,0.79034173,0.1775073,0.007151244,-0.25674424,0.40864432,0.37632185,0.2395513,-0.093700275,0.24398242,-0.26828927,0.18692793,-0.1015897,0.0027635456,1.4179194,1.037257,-0.16608442,-0.77836835,0.6749597,1,4
9,0.78295064,-0.0741525,0.93011963,0.049817603,0.055038117,-0.29890355,0.8982227,0.538838,-0.8144922,0.20379053,0.30246988,0.08668032,1.1056663,0.6632983,1.6059281,0.14917229,0.22225417,0.3383367,1.5694641,2.1704903,0.78978896,0.113201916,0.19427013,0.15615326,-0.8726598,0.48450133,0.32139483,0.07713028,0.1228492,0.14777333,0.8661407,-0.5784529,-0.57021844,0.47945848,-0.02617542,0.7015694,0.5442214,0.8222547,-0.5229735,0.10341551,0.42625558,-0.44699404,-0.84126616,0.30205828,0.0015733925,0.62845504,-0.14883761,0.3612214,-0.85366565,0.8667,0.78707266,-0.62530273,-0.96639067,0.25849974,-0.0152630415,0.8436219,0.8085718,0.5400267,-0.81063205,0.89523745,0.4927492,-0.638596,-1.4216654,1.8482164,0.00072182197,0.80539364,0.6183794,1.8567971,-0.26871824,0.69548404,0.5621223,-0.6405065,0.7901536,0.1775073,-0.0013767536,-0.25537524,0.41167095,0.3750373,0.2387756,-0.091157116,0.24415687,-0.26866537,0.18719779,-0.10196122,0.0029791915,1.4178579,1.0372032,-0.16602372,-0.778322,0.67411464,1,4
