Timestep,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,IMU1_a_mag,IMU1_g_mag,IMU1_pitch,IMU1_roll,IMU1_jerk_a_mag,IMU1_yaw_int,IMU2_a_mag,IMU2_g_mag,IMU2_pitch,IMU2_roll,IMU2_jerk_a_mag,IMU2_yaw_int,IMU3_a_mag,IMU3_g_mag,IMU3_pitch,IMU3_roll,IMU3_jerk_a_mag,IMU3_yaw_int,IMU4_a_mag,IMU4_g_mag,IMU4_pitch,IMU4_roll,IMU4_jerk_a_mag,IMU4_yaw_int,IMU5_a_mag,IMU5_g_mag,IMU5_pitch,IMU5_roll,IMU5_jerk_a_mag,IMU5_yaw_int,IMU1_qw,IMU1_qx,IMU1_qy,IMU1_qz,IMU2_qw,IMU2_qx,IMU2_qy,IMU2_qz,IMU3_qw,IMU3_qx,IMU3_qy,IMU3_qz,IMU4_qw,IMU4_qx,IMU4_qy,IMU4_qz,IMU5_qw,IMU5_qx,IMU5_qy,IMU5_qz,REL_LH_pitch,REL_LH_roll,REL_RH_pitch,REL_RH_roll,REL_LK_pitch,REL_LK_roll,REL_RK_pitch,REL_RK_roll,REL_THIGH_yaw,REL_ANKLE_yaw,move,label
0,-1.3563867,0.76166177,-0.50455827,0.3715348,0.20017107,0.68183225,0.29337332,-2.3680933,0.5861499,-0.030699935,-0.08768049,0.10594097,0.88489187,-1.3828707,-0.5946854,0.08098974,0.057659674,0.34224007,0.39225966,1.5577505,-1.6752269,0.08025244,-0.008702787,0.17417029,-1.0804399,-0.77182853,-0.1583716,-0.010564867,0.32946074,0.09289166,-1.0645531,-0.5725546,1.6981784,0.26460278,1.3567397e-05,0.7880209,0.3210918,0.49489376,1.827152,0.8051621,-1.5205696,-0.5989548,-0.17040442,-6.665306,-0.0014001053,0.6316138,0.44181886,-6.1879244,-0.3278239,0.7857419,-2.1351523,-0.69263947,-0.9713583,-1.9215152,-0.00082696596,0.845045,0.5797369,-1.7950193,-0.84172523,0.6228252,-2.9044838,-0.6759574,-0.5904798,2.1400373,-0.0026284144,0.80795944,-0.0426016,2.122422,0.07640925,0.45821407,-2.5619862,-0.599342,1.2499377,-0.0039061434,-0.0033960624,-0.2687698,0.70163155,0.23067778,0.4233027,-0.25044423,-1.8188281,-3.7561665,-2.0505266,-1.6668001,-0.13028434,4.417789,1.2266891,1.9364568,-0.7789457,0.68273413,1,2
1,-1.3568373,0.76370406,-0.50288,0.36951658,0.1935808,0.67962784,0.29368874,-2.3681998,0.5851619,-0.03234533,-0.08943026,0.10711578,0.8857585,-1.382803,-0.60696816,0.08701313,0.041468263,0.34224007,0.39372545,1.5578799,-1.6727269,0.08025244,-0.008702787,0.17984767,-1.0778681,-0.7705292,-0.17167343,0.0022395614,0.4467523,0.09813391,-1.0630342,-0.5795233,1.6976634,0.26622924,0.036349505,0.7878671,0.31719208,0.48909685,1.8303058,0.8065435,-1.5204391,-0.5995979,-0.17137854,-6.6663156,0.005510707,0.6316896,0.44242346,-6.187774,-0.32717556,0.7851703,-2.1387882,-0.69795454,-0.97301054,-1.9256936,-0.07698625,0.84494996,0.58033735,-1.7944871,-0.8392073,0.62014484,-2.9035645,-0.6739683,-0.59305876,2.139415,0.018901177,0.80822176,-0.041309882,2.122005,0.07549768,0.45823485,-2.5617027,-0.56727767,1.2459176,0.0012236215,0.00369182,-0.26850405,0.7056384,0.22861496,0.42852104,-0.24547675,-1.8186953,-3.7581518,-2.0506604,-1.6710896,-0.13068447,4.4176707,1.226292,1.9434041,-0.7788099,0.68277425,1,2
2,-1.3570077,0.7644768,-0.50224495,0.3687529,0.1910872,0.6787937,0.29380807,-2.36824,0.5847881,-0.032967906,-0.09009233,0.107560314,0.88608646,-1.3827775,-0.61161566,0.08945504,0.035341777,0.34418902,0.3942801,1.5582099,-1.671781,0.08726167,0.0074641635,0.18199585,-1.0768949,-0.77003765,-0.17670661,0.007084471,0.4911329,0.10011746,-1.0624595,-0.5821602,1.6974686,0.26684466,0.02751103,0.7877133,0.31333086,0.48337516,1.8334155,0.80790615,-1.5203897,-0.5998412,-0.17174713,-6.6666975,0.003829698,0.6317654,0.44302088,-6.1876254,-0.32653528,0.7846058,-2.1401641,-0.7000669,-0.97363573,-1.9272747,-0.058461018,0.84489226,0.5809343,-1.7939619,-0.83665097,0.6176084,-2.9019918,-0.6765544,-0.5938567,2.1392052,0.042351305,0.8084841,-0.040160608,2.121632,0.0748677,0.4585361,-2.5615954,-0.5551452,1.2443966,0.0031645088,0.00196774,-0.2682383,0.7095747,0.22657228,0.43367383,-0.2405705,-1.818645,-3.7589033,-2.0507107,-1.6727127,-0.13075894,4.4176474,1.2261418,1.9460328,-0.7787177,0.6828143,1,2
3,-1.3570077,0.7644768,-0.50224495,0.3687529,0.1898675,0.6787937,0.29380807,-2.3682919,0.58462787,-0.033234727,-0.090305135,0.107560314,0.885799,-1.3827857,-0.61385643,0.08965323,0.032387946,0.34695524,0.3942801,1.558552,-1.671781,0.09579465,0.027145663,0.18074335,-1.0768949,-0.77003765,-0.17735374,0.007084471,0.4737245,0.10011746,-1.0624595,-0.5834854,1.6974686,0.26684466,1.3567397e-05,0.7875595,0.30953714,0.47773728,1.8364524,0.8092604,-1.5203272,-0.5999481,-0.17177735,-6.666846,0.0019104778,0.63184124,0.44359136,-6.1874843,-0.325906,0.7840505,-2.14083,-0.7012664,-0.9732974,-1.9280465,-0.014773633,0.8448649,0.58150893,-1.7934595,-0.83411497,0.61523914,-2.9005005,-0.6812106,-0.5936402,2.1392362,0.04975665,0.80871326,-0.039098214,2.121289,0.07446434,0.4589421,-2.561715,-0.5604303,1.2444189,0.0033881422,-0.0063861567,-0.26797253,0.71348405,0.22454296,0.43846348,-0.23596293,-1.8186574,-3.7589815,-2.0505798,-1.6733148,-0.13064305,4.4177322,1.2258995,1.9469303,-0.7786609,0.682832,1,2
4,-1.3570077,0.7644768,-0.50224495,0.3687529,0.18485317,0.6787937,0.29380807,-2.3685048,0.58396924,-0.034331653,-0.09118002,0.107560314,0.8846172,-1.3828195,-0.6230686,0.08965323,0.020244362,0.34857345,0.3942801,1.558552,-1.671781,0.09579465,0.027145663,0.17559409,-1.0768949,-0.77003765,-0.18001416,0.007084471,0.40215677,0.10011746,-1.0624595,-0.5889334,1.6974686,0.26684466,1.3567397e-05,0.78740567,0.30588096,0.4722173,1.8393468,0.81062454,-1.5200702,-0.6003879,-0.1719016,-6.6674557,0.015520656,0.63191706,0.44409534,-6.187359,-0.3252958,0.78351045,-2.1435673,-0.7056908,-0.97190654,-1.9312192,-0.072109945,0.8448611,0.5820215,-1.7930148,-0.83171445,0.6131173,-2.9005005,-0.6836426,-0.5936402,2.1392362,0.0036078962,0.80883914,-0.0380367,2.120956,0.07423279,0.45914277,-2.562207,-0.5821577,1.2445102,0.0043070447,-0.01867877,-0.26770678,0.7174421,0.22251634,0.4422476,-0.23216856,-1.8187081,-3.7593036,-2.0500398,-1.6757901,-0.13055177,4.417973,1.2249032,1.95062,-0.77863145,0.6827801,1,2
5,-1.3573076,0.7755161,-0.5036964,0.40657204,0.18095398,0.6997657,0.2935353,-2.3685336,0.58388025,-0.034954235,-0.09583818,0.10776352,0.88254964,-1.3833209,-0.6243134,0.09712762,0.010101292,0.35071644,0.39147294,1.558105,-1.6725017,0.09969543,0.04108508,0.1710158,-1.0749047,-0.7695491,-0.18842667,0.015043973,0.32715037,0.100441314,-1.0624301,-0.59820884,1.6985472,0.26899123,0.0007167707,0.7875179,0.30238122,0.46747506,1.8421698,0.8118118,-1.520011,-0.60162467,-0.17114303,-6.6675377,0.0068819057,0.63199884,0.44457415,-6.1872373,-0.32471803,0.7830519,-2.1425622,-0.7082772,-0.9688222,-1.9318159,-0.0014619472,0.8448941,0.582615,-1.7924951,-0.82940704,0.6113018,-2.9028919,-0.6848514,-0.5887933,2.1393785,-0.05863493,0.8088622,-0.03704531,2.120656,0.07443564,0.459347,-2.5628483,-0.60490423,1.2415589,0.007414621,-0.024090087,-0.26742917,0.7211673,0.22064799,0.4448024,-0.22930643,-1.8195095,-3.761264,-2.0499065,-1.6776145,-0.12901197,4.4181237,1.2214193,1.9528775,-0.77864313,0.6826529,1,2
6,-1.3574855,0.7820707,-0.50455827,0.4365546,0.17904118,0.715435,0.29337332,-2.3685336,0.58388025,-0.035235878,-0.098533764,0.10788418,0.88141686,-1.383616,-0.61839545,0.10156554,0.0050532003,0.35244945,0.38980624,1.5578395,-1.6729296,0.10201153,0.049361605,0.16871059,-1.0735257,-0.76925904,-0.19320813,0.019769933,0.28835765,0.10063359,-1.0624126,-0.604218,1.6991876,0.2702658,0.0007387458,0.7877125,0.29894248,0.46300954,1.8449582,0.8129252,-1.5199965,-0.6023238,-0.17068264,-6.6675377,-6.669602e-05,0.63208157,0.4450449,-6.1871176,-0.32415092,0.7826105,-2.1400547,-0.7094266,-0.96691597,-1.9298879,0.06429079,0.84494424,0.58325344,-1.7919325,-0.827116,0.6095904,-2.904312,-0.685374,-0.58591545,2.1394627,-0.06038513,0.80886924,-0.036074646,2.1203637,0.07470374,0.45954984,-2.5632162,-0.61666673,1.2394993,0.009186003,-0.018879537,-0.2671497,0.72481495,0.21882127,0.4471396,-0.22661452,-1.8199815,-3.762402,-2.049798,-1.676917,-0.12810504,4.418195,1.219171,1.9518759,-0.7786745,0.6825138,1,2
7,-1.3574855,0.7811876,-0.5046943,0.45035496,0.17859201,0.7213334,0.29330513,-2.3685336,0.58388025,-0.035235878,-0.09900667,0.10780798,0.8810336,-1.383616,-0.6075459,0.10156554,0.0050532003,0.3535319,0.38942137,1.5577978,-1.6730016,0.10201153,0.049361605,0.16831091,-1.0731634,-0.76925904,-0.19332795,0.019769933,0.28521985,0.10063359,-1.0624379,-0.60643965,1.6992245,0.26993436,-0.00059234735,0.7879502,0.2955568,0.45870888,1.8477046,0.81399876,-1.5199904,-0.60245055,-0.17048883,-6.6675377,-0.0010752451,0.63216203,0.44551116,-6.1869993,-0.32359505,0.78218085,-2.1370275,-0.70936906,-0.96603197,-1.9261698,0.09012112,0.8450062,0.5839248,-1.7913384,-0.8248264,0.6079467,-2.9045527,-0.68532825,-0.5852372,2.1394773,-0.008269687,0.80886567,-0.03511545,2.120076,0.07499036,0.45972466,-2.5632858,-0.61744416,1.2389534,0.009227409,-0.00564807,-0.26687017,0.7284183,0.21701449,0.4493911,-0.22399692,-1.8199402,-3.7621062,-2.0494914,-1.6738062,-0.12795399,4.4182067,1.2182938,1.9481474,-0.77872044,0.68236756,1,2
8,-1.3574855,0.7730184,-0.505953,0.45035496,0.17443728,0.7213334,0.2926743,-2.3685336,0.58388025,-0.035235878,-0.10338108,0.10710308,0.8774882,-1.383616,-0.6075459,0.10156554,0.0050532003,0.3535319,0.38586152,1.5574101,-1.6736684,0.10201153,0.049361605,0.16461402,-1.0731634,-0.76925904,-0.19443643,0.019769933,0.25619516,0.10063359,-1.0626724,-0.6110664,1.6995653,0.2668684,-0.006197067,0.7881879,0.29229477,0.45441785,1.850309,0.81514335,-1.5199337,-0.60362345,-0.16869609,-6.6675377,0.001929716,0.632224,0.44597292,-6.186881,-0.32308388,0.7818105,-2.1376944,-0.70936906,-0.9610184,-1.9261698,0.0033659483,0.8450683,0.5845843,-1.7907552,-0.8225332,0.606372,-2.906781,-0.6849049,-0.57896364,2.1396112,-0.060451545,0.8087747,-0.034162868,2.1198,0.07545265,0.45968556,-2.563489,-0.62463576,1.2389907,0.009610842,-0.009379633,-0.26659068,0.7320126,0.2152283,0.45115685,-0.22177921,-1.8195595,-3.7593682,-2.047882,-1.6718657,-0.12655675,4.418318,1.2145845,1.9483516,-0.77877253,0.6821625,1,2
9,-1.3562462,0.7663397,-0.5069668,0.46900997,0.17111892,0.73822415,0.2918133,-2.368456,0.58388025,-0.034035187,-0.10903236,0.105883814,0.8745753,-1.3837392,-0.5984104,0.10385881,0.009694951,0.35094878,0.38191965,1.5570933,-1.6738485,0.10299891,0.050698128,0.1618806,-1.0702989,-0.76925904,-0.19829518,0.017433994,0.24225771,0.10090684,-1.0657115,-0.6169995,1.6993346,0.26436722,-0.07481266,0.7886399,0.2891408,0.45046082,1.8528333,0.81629,-1.5199381,-0.60478956,-0.16620898,-6.667573,-0.0005027967,0.632256,0.44648048,-6.1867514,-0.32262802,0.781496,-2.1351368,-0.7074706,-0.9565702,-1.9230934,0.04745342,0.8450808,0.5853193,-1.7900885,-0.82026273,0.6046408,-2.9087179,-0.6843034,-0.5719344,2.1396284,-0.06773424,0.8086378,-0.033232335,2.1195366,0.07604294,0.45954165,-2.5645692,-0.6273302,1.2347679,0.010945957,-0.03231441,-0.26630116,0.73560125,0.21345209,0.45274952,-0.21963306,-1.8183069,-3.7571533,-2.045929,-1.6678823,-0.1253427,4.4183455,1.2095737,1.9459592,-0.77877665,0.68192136,1,2
