Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,person_id,IMU1_a_mag,IMU1_g_mag,IMU1_pitch,IMU1_roll,IMU1_jerk_a_mag,IMU1_yaw_int,IMU1_qw,IMU1_qx,IMU1_qy,IMU1_qz,IMU2_a_mag,IMU2_g_mag,IMU2_pitch,IMU2_roll,IMU2_jerk_a_mag,IMU2_yaw_int,IMU2_qw,IMU2_qx,IMU2_qy,IMU2_qz,IMU3_a_mag,IMU3_g_mag,IMU3_pitch,IMU3_roll,IMU3_jerk_a_mag,IMU3_yaw_int,IMU3_qw,IMU3_qx,IMU3_qy,IMU3_qz,IMU4_a_mag,IMU4_g_mag,IMU4_pitch,IMU4_roll,IMU4_jerk_a_mag,IMU4_yaw_int,IMU4_qw,IMU4_qx,IMU4_qy,IMU4_qz,IMU5_a_mag,IMU5_g_mag,IMU5_pitch,IMU5_roll,IMU5_jerk_a_mag,IMU5_yaw_int,IMU5_qw,IMU5_qx,IMU5_qy,IMU5_qz,REL_LH_pitch,REL_LH_roll,REL_RH_pitch,REL_RH_roll,REL_LK_pitch,REL_LK_roll,REL_RK_pitch,REL_RK_roll,REL_THIGH_yaw_diff,REL_ANKLE_yaw_diff
10587,298593,13172,-3216,9455,-1317,-1736,-1383,298593,-17715,5426,-2052,-759,-1039,-4560,298614,-23860,4625,-3060,690,-693,-11702,298614,10716,-21266,5319,34,426,-7126,298593,18110,8468,9344,-2087,389,163,70,2,imu_label_2_jong,16530.012,2580.867,-0.9220695,-0.32786176,23415.723,-1559.0608,0.7169401,-0.1834022,-0.61359596,-0.27542788,18640.639,4738.059,1.2543361,1.9323512,-39425.977,-7722.94,0.33165136,0.4590329,0.5814867,-0.5840971,24495.994,11742.791,1.3424264,2.155298,40648.34,-18145.752,-0.46919006,0.019268632,0.37523678,-0.7991788,24400.146,7138.803,-0.45468315,-1.3257071,12972.363,-16460.57,0.056269776,-0.14084093,-0.8286774,-0.5387869,22067.838,2129.1921,-0.96254987,0.73625743,35892.383,13414.496,0.29884067,-0.03453327,-0.802522,0.5152282,2.1764057,2.260213,2.2644958,2.4831598,-1.7090193,-3.2580583,-2.3049762,-1.4190406,10422.8125,-29875.066
10588,298615,13172,-3058,9455,-1317,-1736,-1383,298615,-17467,5426,-2042,-759,-1039,-4541,298636,-23860,4625,-2956,690,-693,-11702,298636,10716,-21266,5319,111,426,-7126,298615,18110,8468,9462,-2087,389,163,70,2,imu_label_2_jong,16500.0,2580.867,-0.92447233,-0.3128083,-1500.5859,-1586.7208,0.7166096,-0.18420911,-0.61372674,-0.27545813,18404.004,4719.7754,1.2503248,1.9307379,-11831.738,-7813.76,0.33024114,0.45464456,0.58298117,-0.5868322,24483.22,11742.791,1.3446822,2.1394956,-638.6719,-18379.791,-0.48192173,0.019087907,0.37831524,-0.7901042,24400.146,7139.585,-0.45468315,-1.3257071,0.0,-16603.09,0.06225081,-0.1357424,-0.82913095,-0.5387399,22118.059,2129.1921,-0.9592965,0.73001707,2511.0352,13417.756,0.31188068,-0.030199578,-0.80282015,0.50724584,2.174797,2.2435462,2.2691545,2.452304,-1.705008,-3.256445,-2.3039787,-1.4094785,10566.031,-30020.846
10589,298637,13172,-3058,9085,-1443,-1836,-1629,298637,-17467,4920,-2042,-759,-1039,-4541,298658,-24860,3989,-2956,142,-1393,-11702,298658,10716,-21266,5319,111,426,-7126,298637,18110,8468,9462,-2087,389,-489,70,2,imu_label_2_jong,16290.801,2847.242,-0.9416914,-0.3246866,-10459.961,-1619.3008,0.71574897,-0.18499449,-0.61417943,-0.2761595,18261.223,4719.7754,1.2747853,1.9642012,-7139.0625,-7904.5796,0.32851192,0.4503441,0.58434665,-0.58975345,25350.93,11785.475,1.3736761,2.2085369,43385.45,-18613.83,-0.4939507,0.018126883,0.3830373,-0.7803631,24400.146,7139.585,-0.45468315,-1.3257071,0.0,-16745.61,0.06818698,-0.13066566,-0.8294517,-0.5387828,22118.059,2178.5342,-0.9592965,0.73001707,0.0,13407.976,0.3255623,-0.024606392,-0.8029175,0.4987256,2.2164767,2.2888877,2.3153675,2.5332234,-1.7294685,-3.2899084,-2.3329725,-1.4785198,10709.25,-30153.586
10590,298659,14172,-2569,8569,-1557,-1836,-1805,298659,-16599,4520,-1811,-577,-398,-3085,298680,-25765,3638,-2801,-268,-1406,-9702,298680,11716,-21157,5719,531,639,-5126,298659,19110,8761,9550,-1955,1491,-908,70,2,imu_label_2_jong,16759.27,3008.8486,-1.0077286,-0.2912748,23423.438,-1655.4008,0.714386,-0.18533672,-0.6151655,-0.27726248,17298.467,3163.6306,1.2854522,1.9518747,-48137.793,-7966.28,0.32787415,0.4493652,0.58431166,-0.5908886,26170.898,9807.011,1.3944458,2.2269301,40998.438,-18807.87,-0.5015974,0.019533774,0.38847324,-0.772727,24851.363,5192.895,-0.49092624,-1.3067933,22560.84,-16848.129,0.07755738,-0.12937675,-0.829532,-0.53770167,23090.035,2620.9866,-0.97487146,0.742336,48598.83,13389.815,0.34172228,-0.01952031,-0.8016652,0.49007937,2.293181,2.2431495,2.4021745,2.518205,-1.7763785,-3.258668,-2.3693173,-1.4845941,10841.59,-30237.945
10591,298681,14172,-2557,8569,-1557,-1786,-1805,298681,-16599,4520,-1811,-577,-398,-3085,298702,-25765,3638,-2671,-268,-1406,-9702,298702,11716,-21157,5719,541,639,-5126,298681,19110,8761,9550,-1955,1491,-908,70,2,imu_label_2_jong,16757.434,2978.602,-1.0079021,-0.28998938,-91.796875,-1691.5007,0.7131286,-0.18562253,-0.6160407,-0.2783624,17298.467,3163.6306,1.2854522,1.9518747,0.0,-8027.98,0.32724017,0.4484082,0.5842763,-0.592001,26157.305,9807.011,1.3973866,2.204105,-679.6875,-19001.908,-0.50889003,0.020730374,0.39412522,-0.7650271,24851.363,5193.9272,-0.49092624,-1.3067933,0.0,-16950.648,0.08686261,-0.12806676,-0.8294856,-0.5366632,23090.035,2620.9866,-0.97487146,0.742336,0.0,13371.655,0.35756272,-0.01455471,-0.80010694,0.48142081,2.2933545,2.2418642,2.4052887,2.4940944,-1.7763785,-3.258668,-2.372258,-1.4617689,10973.928,-30322.305
10592,298703,14172,-2557,8350,-1665,-1786,-1855,298703,-16599,4228,-1811,-577,-398,-3085,298724,-26407,3534,-2671,-268,-1406,-9702,298724,11716,-21157,5719,541,639,-5126,298703,19110,8761,9550,-1955,1491,-1205,70,2,imu_label_2_jong,16646.512,3066.4387,-1.0185525,-0.2971603,-5546.0938,-1728.6007,0.7117191,-0.1860697,-0.61690855,-0.27974615,17224.475,3163.6306,1.3004816,1.9754883,-3699.6094,-8089.68,0.32639575,0.44749242,0.5841764,-0.5932573,26775.98,9807.011,1.4045917,2.2179997,30933.79,-19195.947,-0.5160138,0.021812044,0.3997218,-0.75728226,24851.363,5193.9272,-0.49092624,-1.3067933,0.0,-17053.168,0.09609671,-0.12673998,-0.8293005,-0.53568935,23090.035,2738.0889,-0.97487146,0.742336,0.0,13347.556,0.37345278,-0.009085447,-0.79825854,0.47247618,2.319034,2.2726486,2.4231443,2.51516,-1.7914078,-3.2822816,-2.3794632,-1.4756637,11106.268,-30400.723
10593,298725,15172,-2145,8186,-1746,-1687,-1890,298725,-16027,4028,-1686,-559,-208,-2611,298746,-26889,3534,-2671,-261,-955,-8386,298746,12716,-20809,6145,837,577,-3536,298725,20110,8634,9864,-1824,2039,-1445,70,2,imu_label_2_jong,17372.428,3076.7815,-1.0620134,-0.25627115,36295.8,-1766.4008,0.7102498,-0.18614382,-0.6179217,-0.28119132,16611.205,2678.258,1.3047986,1.9672081,-30663.477,-8141.9004,0.3260153,0.44756383,0.58370596,-0.5938754,27251.453,8444.237,1.4075179,2.2179997,23773.633,-19363.668,-0.52076095,0.025042707,0.40466458,-0.75128394,25149.0,3679.2383,-0.530108,-1.2836525,14881.836,-17123.889,0.10748692,-0.12860638,-0.82890624,-0.5336867,24005.344,3093.9492,-0.9931132,0.71900225,45765.43,13318.655,0.39038858,-0.0040196236,-0.79549056,0.46343872,2.366812,2.2234793,2.4695313,2.4742708,-1.8349066,-3.2508607,-2.4006312,-1.4989974,11221.768,-30442.543
10594,298747,15172,-2139,8186,-1746,-1687,-1890,298747,-16027,4028,-1686,-559,-208,-2611,298768,-26889,3552,-2671,-261,-955,-8386,298768,12716,-20763,6145,837,577,-3536,298747,20110,8634,9908,-1785,2039,-1445,70,2,imu_label_2_jong,17371.688,3076.7815,-1.0620897,-0.25558516,-37.01172,-1804.2008,0.70880705,-0.18620789,-0.61891264,-0.28260645,16611.205,2678.258,1.3047986,1.9672081,0.0,-8194.12,0.3256374,0.44763708,0.5832455,-0.5944796,27253.793,8444.237,1.4069976,2.2155576,116.99219,-19531.389,-0.5253265,0.028152166,0.40967718,-0.7452544,25110.951,3679.2383,-0.5309962,-1.2830509,-1902.4414,-17194.61,0.11878311,-0.13040684,-0.82835406,-0.53170884,24023.457,3071.119,-0.9919576,0.7167971,905.66406,13289.755,0.40695736,0.00095006736,-0.7923643,0.45447055,2.3668883,2.2227933,2.4690871,2.4711428,-1.8357948,-3.250259,-2.398955,-1.4987605,11337.269,-30484.363
10595,298769,15172,-2139,8186,-1866,-1687,-1890,298769,-16027,3892,-1686,-559,-208,-2611,298790,-26889,3552,-2671,-371,-1077,-8386,298790,12716,-20763,6145,837,577,-3536,298769,20110,8221,9908,-1785,2039,-1621,70,2,imu_label_2_jong,17371.688,3146.4304,-1.0620897,-0.25558516,0.0,-1842.0009,0.7073307,-0.18649012,-0.61979115,-0.28418928,16578.752,2678.258,1.3120807,1.9795887,-1622.6562,-8246.34,0.32515278,0.4477255,0.5827589,-0.5951551,27253.793,8463.012,1.4069976,2.2155576,0.0,-19699.11,-0.529582,0.03105741,0.41512418,-0.7390874,25110.951,3679.2383,-0.5309962,-1.2830509,0.0,-17265.33,0.12998074,-0.13215038,-0.8276461,-0.5297577,23878.137,3157.7502,-1.0013378,0.69261,-7266.0156,13257.335,0.42335212,0.005950319,-0.78900373,0.44520858,2.3741703,2.235174,2.4690871,2.4711428,-1.843077,-3.2626395,-2.4083352,-1.5229475,11452.77,-30522.664
10596,298791,14172,-1900,8243,-1953,-1511,-1739,298791,-15985,3869,-1620,-545,-95,-2361,298812,-25889,3584,-2205,-798,-2708,-7171,298812,13716,-20486,6474,666,591,-2170,298791,21110,7529,10459,-1585,2450,-1891,70,2,imu_label_2_jong,16504.625,3020.174,-1.032666,-0.22654189,-43353.125,-1876.7809,0.7064925,-0.18682913,-0.6200211,-0.28554717,16526.154,2424.9475,1.3141813,1.9673296,-2629.8828,-8293.56,0.32494006,0.4483107,0.5821242,-0.59545183,26228.752,7706.7056,1.4096662,2.1223423,-51252.05,-19842.53,-0.52899987,0.03224363,0.42430782,-0.7342223,25489.559,2345.5781,-0.56818455,-1.2647072,18930.371,-17308.73,0.1429298,-0.1366093,-0.82608384,-0.5277258,24732.744,3477.1548,-1.0227122,0.62392986,42730.37,13219.515,0.4405373,0.010522975,-0.78481615,0.43575186,2.3468473,2.1938715,2.4423323,2.3488843,-1.882366,-3.2320368,-2.4323783,-1.4984125,11548.97,-30528.246
