Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,person_id,IMU1_a_mag,IMU1_g_mag,IMU1_pitch,IMU1_roll,IMU1_jerk_a_mag,IMU1_yaw_int,IMU1_qw,IMU1_qx,IMU1_qy,IMU1_qz,IMU2_a_mag,IMU2_g_mag,IMU2_pitch,IMU2_roll,IMU2_jerk_a_mag,IMU2_yaw_int,IMU2_qw,IMU2_qx,IMU2_qy,IMU2_qz,IMU3_a_mag,IMU3_g_mag,IMU3_pitch,IMU3_roll,IMU3_jerk_a_mag,IMU3_yaw_int,IMU3_qw,IMU3_qx,IMU3_qy,IMU3_qz,IMU4_a_mag,IMU4_g_mag,IMU4_pitch,IMU4_roll,IMU4_jerk_a_mag,IMU4_yaw_int,IMU4_qw,IMU4_qx,IMU4_qy,IMU4_qz,IMU5_a_mag,IMU5_g_mag,IMU5_pitch,IMU5_roll,IMU5_jerk_a_mag,IMU5_yaw_int,IMU5_qw,IMU5_qx,IMU5_qy,IMU5_qz,REL_LH_pitch,REL_LH_roll,REL_RH_pitch,REL_RH_roll,REL_LK_pitch,REL_LK_roll,REL_RK_pitch,REL_RK_roll,REL_THIGH_yaw_diff,REL_ANKLE_yaw_diff
307,21273,30908,-561,12553,-2656,-1463,-1072,21273,-580,15973,-2776,200,786,-690,247394,6757,-32059,3688,938,2889,-1923,247394,-11825,-30317,9301,1083,879,1396,21273,-731,32090,3724,-1780,2093,-1388,2,1,imu_label_1_jea,33364.61,3216.1917,-1.1846595,-0.044660795,0.0,0.0,0.82943547,-0.018524705,-0.55815625,-0.012465923,16222.802,1064.8456,0.03575977,1.7428709,0.0,0.0,0.64362586,0.7651315,0.011509183,-0.013681921,32970.258,3595.0095,-0.20640475,-1.4562619,0.0,0.0,0.7424481,-0.6619349,-0.0768956,-0.06855682,33844.64,1973.4098,0.35692066,-1.2731204,0.0,0.0,0.7913739,-0.58499223,0.14274749,0.105520494,32313.629,3078.245,0.022623964,1.4552644,0.0,0.0,0.74670357,0.6650608,0.008447058,-0.007523477,1.2204193,1.7875317,0.97825474,-1.4116011,0.32116088,-3.0159912,0.2290287,2.9115262,0.0,0.0
308,247395,30908,-561,12420,-2919,-1969,-1072,247395,-580,15973,-2776,200,501,-690,247416,6757,-32059,3688,938,2889,-1923,247416,-11972,-30317,9301,1083,626,1396,247395,-958,32091,3724,-1926,1885,-1483,2,1,imu_label_1_jea,33314.797,3680.585,-1.188354,-0.0451384,-2490.625,-21.439999,0.82633036,-0.02335109,-0.5623823,-0.01894956,16222.802,875.843,0.03575977,1.7428709,0.0,-13.799999,0.64318484,0.7654628,0.013722671,-0.013846589,32970.258,3595.0095,-0.20640475,-1.4562619,0.0,-38.46,0.74427253,-0.659184,-0.07478307,-0.07708707,33896.28,1874.4548,0.3609841,-1.2731204,2582.0312,27.92,0.79239494,-0.5823949,0.14650248,0.10706787,32320.553,3076.0347,0.029644923,1.455268,346.1914,-29.66,0.7499526,0.6612876,0.014787901,-0.0071454737,1.2241138,1.7880093,0.98194927,-1.4111235,0.3252243,-3.0159912,0.23604967,2.91153,24.66,57.58
309,247417,31265,-368,12377,-3024,-2348,-1055,247417,-578,16020,-2743,265,287,-492,247438,6302,-32208,3344,840,2432,-1879,247438,-11972,-30535,9057,817,547,1053,247417,-1012,32091,3805,-2035,1505,-1533,2,1,imu_label_1_jea,33627.754,3971.2346,-1.1937007,-0.029723812,15647.852,-42.54,0.8226191,-0.028220616,-0.56732774,-0.025310641,16263.411,628.21814,0.035547387,1.7403754,2030.4688,-23.64,0.64265424,0.76587707,0.015133257,-0.014103535,32988.676,3186.0422,-0.19221671,-1.4673419,920.89844,-76.03999,0.74569345,-0.6568219,-0.073387474,-0.08450211,34025.645,1440.662,0.3595492,-1.2824521,6468.164,48.98,0.7930501,-0.58057386,0.14939904,0.10809947,32331.63,2959.111,0.03130573,1.4527782,553.90625,-60.32,0.753309,0.6573084,0.02035815,-0.0075349743,1.229248,1.7700992,1.0014839,-1.4376181,0.32400182,-3.0228276,0.22352244,2.9201202,52.399994,109.3
310,247439,31265,-368,12377,-3024,-2348,-1039,247439,-578,16020,-2715,265,287,-492,247460,6302,-32208,3344,840,2432,-1532,247460,-11406,-30535,9057,817,547,1053,247439,-1012,32130,3805,-2035,1505,-1533,2,1,imu_label_1_jea,33627.754,3967.0142,-1.1937007,-0.029723812,0.0,-63.32,0.8189017,-0.033012476,-0.5721166,-0.03150898,16258.712,628.21814,0.035557665,1.7386768,-234.96094,-33.48,0.64214563,0.76627034,0.016515886,-0.0143552115,32988.676,2994.5364,-0.19221671,-1.4673419,0.0,-106.67999,0.74711794,-0.65453553,-0.0714209,-0.0910887,33830.64,1440.662,0.34388798,-1.2824521,-9750.195,70.04,0.7937055,-0.5787993,0.15211263,0.109016724,32370.342,2959.111,0.03126828,1.4529202,1935.5469,-90.979996,0.7565545,0.653373,0.025815938,-0.007915935,1.2292583,1.7684005,1.0014839,-1.4376181,0.30833033,-3.021129,0.223485,2.920262,73.2,161.01999
311,247461,31085,-772,12377,-3024,-2348,-1039,247461,-578,16020,-2715,265,287,-492,247482,5936,-32324,3086,765,2089,-1532,247482,-11406,-30711,8870,617,505,796,247461,-1012,32130,3531,-2035,1220,-1533,2,1,imu_label_1_jea,33467.348,3967.0142,-1.191204,-0.062293056,-8020.3125,-84.1,0.81518126,-0.037973627,-0.5767248,-0.03776372,16258.712,628.21814,0.035557665,1.7386768,0.0,-43.32,0.6416457,0.7666539,0.017870817,-0.014601868,33009.098,2701.1423,-0.18081284,-1.475614,1021.09375,-137.31999,0.7482411,-0.65256315,-0.070052944,-0.096897535,33940.23,1126.6455,0.3427319,-1.2896262,5479.492,85.96,0.7940885,-0.5776181,0.15422188,0.10952798,32339.28,2824.8389,0.031298324,1.4613383,-1553.125,-121.64,0.7596602,0.6495407,0.0306,-0.00877622,1.2267616,1.8009698,1.0103911,-1.4133209,0.30717424,-3.0283031,0.21211116,2.936952,93.99999,207.6
312,247483,30938,-1075,12776,-2555,-1696,-952,247483,-260,16055,-2578,292,294,-389,247504,5658,-32411,2892,649,1904,-1239,247504,-10958,-30841,8734,464,478,603,247483,-553,32163,3306,-1596,1007,-1092,2,1,imu_label_1_jea,33489.426,3211.035,-1.177926,-0.08394441,1103.9062,-103.14,0.8125742,-0.042083412,-0.57973063,-0.0431799,16262.739,568.34937,0.015988147,1.7300103,201.36719,-51.1,0.64117354,0.7670265,0.018877404,-0.014508381,33028.01,2362.5278,-0.17215829,-1.481803,945.7031,-162.09999,0.7491249,-0.650989,-0.0684764,-0.10166753,33875.18,898.5483,0.3294067,-1.2948278,-3252.539,98.02,0.7942856,-0.5769018,0.15578789,0.10965869,32337.193,2180.3047,0.017101884,1.4683671,-104.296875,-143.48,0.76191616,0.6467193,0.034001376,-0.009045935,1.193914,1.8139547,1.0057677,-1.3978586,0.31341857,-3.024838,0.18926017,2.95017,110.99999,241.5
313,247505,30938,-1075,12778,-2550,-1685,-952,247505,-260,16055,-2577,292,294,-389,247526,5658,-32411,2892,649,1904,-1239,247526,-10958,-30841,8734,464,478,603,247505,-553,32169,3306,-1595,1007,-1092,2,1,imu_label_1_jea,33490.19,3201.2544,-1.177871,-0.083931334,38.28125,-122.18,0.8099876,-0.046098363,-0.5826191,-0.048476852,16262.581,568.34937,0.015988303,1.7299496,-7.9101562,-58.879997,0.6407106,0.76739013,0.019863958,-0.014416768,33028.01,2362.5278,-0.17215829,-1.481803,0.0,-186.87999,0.7499688,-0.6494296,-0.06693032,-0.10634041,33875.18,898.5483,0.3294067,-1.2948278,0.0,110.079994,0.7944765,-0.5761978,0.15732199,0.10978618,32343.16,2179.573,0.01709873,1.468386,298.33984,-165.31999,0.7641071,0.6439409,0.037333857,-0.009310045,1.1938593,1.8138809,1.0057127,-1.3978717,0.31341842,-3.0247774,0.18925701,2.950189,127.99999,275.4
314,247527,30839,-1270,12778,-2550,-1685,-952,247527,-260,16055,-2577,292,294,-389,247548,5459,-32458,2773,584,1765,-1239,247548,-10958,-30936,8650,350,458,469,247527,-553,32169,3081,-1595,848,-1092,2,1,imu_label_1_jea,33405.598,3201.2544,-1.1762435,-0.09906424,-4229.6875,-141.22,0.8074063,-0.05015819,-0.5853978,-0.053746413,16262.581,568.34937,0.015988303,1.7299496,0.0,-66.659996,0.6402561,0.7677453,0.020830873,-0.014326994,33030.47,2234.1445,-0.16603343,-1.4855698,122.85156,-211.65999,0.7506225,-0.6480857,-0.06562154,-0.11065541,33940.188,743.1184,0.32875198,-1.2981497,3250.3906,119.45999,0.794519,-0.57581955,0.15854092,0.10971012,32320.936,2110.8276,0.017110487,1.4753121,-1111.2305,-187.15999,0.76620847,0.6412529,0.0402814,-0.009836511,1.1922319,1.8290138,1.0102102,-1.3865056,0.3127637,-3.0280993,0.18314391,2.960882,145.0,306.62
315,247549,30755,-1416,13085,-2183,-1186,-890,247549,-8,16084,-2474,314,295,-306,247570,5310,-32493,2675,550,1612,-1011,247570,-10650,-31008,8603,264,458,359,247549,-208,32192,2908,-1267,718,-765,2,1,imu_label_1_jea,33452.836,2638.974,-1.1664354,-0.107796036,2361.914,-159.02,0.80570954,-0.053463314,-0.58700275,-0.058323454,16273.162,528.44775,0.000491607,1.7234176,529.05273,-72.78,0.63982177,0.7680949,0.021512577,-0.013981556,33032.51,1980.6981,-0.16145122,-1.4886562,102.14844,-231.87999,0.7512136,-0.6469345,-0.06420775,-0.11415433,33895.87,639.0156,0.31961128,-1.3001589,-2215.8203,126.63999,0.7944644,-0.57569844,0.15947187,0.10939085,32323.746,1645.0039,0.006434942,1.4807079,140.52734,-202.45999,0.7676975,0.63934016,0.04227464,-0.009878522,1.166927,1.8312137,1.0049841,-1.3808601,0.31911966,-3.0235765,0.16788617,2.9693642,159.09999,329.09998
316,247571,30755,-1416,13085,-2177,-1172,-890,247571,-8,16086,-2474,314,295,-306,247592,5310,-32493,2675,550,1612,-1011,247592,-10650,-31008,8603,264,469,359,247571,-208,32216,2908,-1267,718,-765,2,1,imu_label_1_jea,33452.836,2627.7393,-1.1664354,-0.107796036,0.0,-176.82,0.8040392,-0.056688704,-0.58852696,-0.06279707,16275.139,528.44775,0.0004915473,1.7233989,98.828125,-78.9,0.639396,0.76843655,0.022180885,-0.013642971,33032.51,1980.6981,-0.16145122,-1.4886562,0.0,-252.09999,0.7517799,-0.64579767,-0.062822,-0.11758272,33895.87,646.9451,0.31961128,-1.3001589,0.0,133.81999,0.79440594,-0.575582,0.16040675,0.10906094,32347.648,1645.0039,0.006430187,1.4807746,1195.1172,-217.76,0.76914924,0.6374598,0.04422732,-0.009919668,1.1669269,1.831195,1.0049841,-1.3808601,0.31911972,-3.0235577,0.16788141,2.969431,173.19998,351.58
