Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,qw,qx,qy,qz,roll,pitch,yaw,bgx,bgy,bgz,acc_lin_x,acc_lin_y,acc_lin_z
7613,870485,-23807,-6999,-480,1148,4047,-1492,870485,-2785,-31689,-1896,5437,-7662,16024,870484,-14816,28200,13768,1396,5230,11788,870484,-4751,-31912,15632,6709,-4080,6070,870526,-11328,24896,17768,2437,-1658,1868,132,1,0.1973293794037227,0.47048410584303924,-0.7308052931450383,0.45346383062424306,-2.3903487103393957,-0.7967868374240106,-2.326561373941584,0.0,0.0,0.0,-23814.012870351457,-6994.321179990891,-474.9901420201258
7614,870528,-24951,-9367,-4768,-592,2007,-620,870528,13243,19711,-3014,-1325,-11049,-3178,870527,-17968,28968,4872,115,-4501,-1106,870527,-20639,-32280,23496,825,-12536,712,873629,432,31568,8088,-258,19,-74,133,1,0.9365741568949613,-0.24111926968724656,0.15846987347190622,0.1989413120087919,-0.43626671088165947,0.4036468797838248,0.3279606115129233,0.0,0.0,0.0,-24947.148195556707,-9363.189138317048,-4776.17381917995
7615,873631,-32103,-3720,7392,204,1810,202,873631,-891,32677,-2854,726,637,-590,873630,-8464,31432,5184,420,873,-656,873630,129,-32656,9840,-257,-1272,140,873672,744,31400,8168,-318,21,-124,133,1,-0.10034630212968498,-0.0877889291237677,0.980921109475925,-0.14148321651955922,-2.8717462450237154,-0.22356256829655102,-2.993548249140725,0.0,0.0,0.0,-32105.174182673047,-3717.450769583519,7401.2165469786905
7616,873674,-31815,-4000,7832,-612,2020,160,873674,-439,-32633,-2744,800,369,-270,873673,-8568,31320,5328,350,987,-580,873673,-1031,-32312,9832,335,-1244,234,873715,-1272,31232,8560,-1198,2537,-92,133,1,-0.9544589551814128,0.233768472398149,-0.0018750791562414087,0.18535611202439398,-0.4650757174975173,-0.08317733492796592,-0.36391635877373746,0.0,0.0,0.0,-31815.814750781374,-3995.6170164510963,7823.265240667495
7617,873717,-31327,-3912,7840,-468,1166,50,873717,-129,-32495,-2380,756,2159,-190,873716,-8720,31096,4904,804,469,-776,873716,-1527,-32312,9376,714,873,-432,873758,-960,31000,8496,186,4204,1696,133,1,0.005451398617488787,0.2012435730326156,-0.9604730890121128,0.19225699428033735,-2.764147983226789,-0.08796621629929194,-2.745328905882381,0.0,0.0,0.0,-31327.861541781527,-3908.3997706830855,7849.081105596061
7618,873760,-31815,-3128,7136,198,101,-184,873760,-705,32603,-1216,326,2845,-800,873759,-10752,30712,4704,561,-633,-1650,873759,-3095,-31296,12048,2876,7467,-1356,873801,-608,31928,9544,388,2242,2452,133,1,0.3048004368640723,0.5845469404969074,-0.06680388940168118,0.7489584824300902,0.6944891074442612,-1.1588081084725546,1.9035586599112375,0.0,0.0,0.0,-31823.986093156243,-3130.513185954553,7132.982648451431
7619,873803,-31303,-2952,7544,708,134,76,873803,879,31911,-4488,1644,1133,-3534,873802,-11232,31472,6400,-1575,-1785,-3500,873802,3641,32104,11640,-1444,2355,-822,873844,-1104,32392,9056,2946,2222,4064,133,1,-0.5897294783419548,0.23080117030713307,0.7109318955858743,0.3058198848964194,2.1960527561926,-1.3688705428690615,-2.9786530042299044,0.0,0.0,0.0,-31312.60740011826,-2953.5946957727365,7545.151170092806
7620,873846,-31327,-3472,7504,2642,686,462,873846,2383,32003,-1616,1815,-2935,-5134,873845,-15264,29232,7032,-2950,293,-4420,873845,-2303,-32640,12544,-2539,-3053,-920,873887,-7400,31472,11888,6099,-1028,7582,133,1,-0.46845756193609545,-0.5112659688937324,0.13279909957800107,-0.7081800765817368,0.5821727175678897,-1.0132543739013133,1.6432640067432784,0.0,0.0,0.0,-31335.321513574476,-3474.8529649902284,7499.666019518173
7621,873889,-30991,-4016,5408,2724,436,494,873889,5901,-31105,-3762,387,-3167,-8258,873888,-16560,25624,5040,-5236,1883,-9840,873888,-6167,-31856,11864,-5507,-4313,-2802,873930,-1808,29184,8696,8426,6358,11750,133,1,0.5840179287401848,-0.33977214808429546,-0.6659272728970504,-0.3162575113860624,2.937828804602867,-1.4502070611689173,2.3787028106586163,0.0,0.0,0.0,-31000.735433334943,-4016.2387228087155,5409.155306636341
7622,873932,31249,-4152,7136,401,-1456,156,873932,4125,-31533,-1086,631,-4635,-10812,873931,-10024,26856,6256,-7974,2931,-14048,873931,-3039,-32288,9864,-5758,2773,-5428,873973,8320,31104,5472,7534,6644,11376,133,1,-0.4768887000637493,-0.23932494670078913,-0.6511429118856885,0.5397347922259582,-1.4920072075534159,1.0745781706798123,-2.7008352366306014,0.0,0.0,0.0,31257.623864004338,-4147.3455065534745,7135.632515832362
7623,873975,29457,-1224,7280,2228,1208,960,873975,2909,-30261,-336,1919,-4153,-12274,873974,-12760,27480,5456,-6892,1155,-13562,873974,681,-31008,9232,-6150,1133,-4760,874016,2992,29672,3144,5256,680,9762,133,1,0.2780115298075613,-0.8715165073571464,0.29169999553660575,0.27942741329727244,-2.705071839114686,0.7065888934185732,-0.48275043731000145,0.0,0.0,0.0,29463.366900146713,-1220.846521410467,7286.759329813647
7624,874018,31409,-1128,7824,3474,1930,152,874018,9663,-29502,2084,731,-10335,-13442,874017,-10176,28984,6536,-5912,1845,-13362,874017,-3767,-32576,10144,-7373,-7147,-5436,874059,2160,32136,2256,1786,1994,11610,133,1,0.6158435302334485,0.0964497924858556,0.41951176625734565,-0.659881854403257,-0.6045901508172048,0.6997129987665363,-1.8664036657104635,0.0,0.0,0.0,31415.31546445826,-1123.7354758353379,7817.827551008882
7625,874061,30897,-2848,5464,5333,-7133,-160,874061,3381,-27894,1912,4785,-8355,-23442,874060,-14200,26336,4704,-4637,-2425,-12974,874060,-4591,32624,5048,-6253,-10249,-11272,874102,1328,29192,5368,1379,-3436,13534,133,1,0.2732327102723123,-0.16615244584953953,-0.8817237181741894,-0.34684367600483235,2.434942133334584,-0.6398677670427914,3.0122541773745084,0.0,0.0,0.0,30891.144553503727,-2853.1077350584396,5469.982906745434
7626,874104,26305,-4368,1576,1257,-12517,-1440,874104,5535,-27171,-2318,7605,-13945,-28548,874103,-16488,22320,7840,-3471,-17,-15608,874103,6089,-32104,5800,-3297,-507,-16288,874145,5336,32112,6392,467,-5686,17320,133,1,-0.8923840205006701,-0.21677564417629097,-0.33038245329565535,0.21795989218514003,0.33948950943589506,0.7534415141980125,-0.3437038971713104,0.0,0.0,0.0,26311.709247409315,-4370.381780253191,1569.2558539273957
7627,874147,21417,-4928,1008,-2561,-11737,-1446,874147,6529,-25937,-978,3993,-8771,-23196,874146,-13000,19632,6720,-4797,-79,-21234,874146,3217,-31816,6408,-3973,-8229,-14566,874188,3784,29056,7128,2989,-6564,17578,133,1,-0.3476720577668277,0.43797710901001746,0.7908262585777616,0.2487850899376933,3.0023076219441194,-0.8754326133842915,2.195313665815593,0.0,0.0,0.0,21409.470250796734,-4928.872269726716,1014.2219294983347
7628,874190,20041,-3496,536,-2269,-15993,-298,874190,10401,-23757,-3300,2273,-6177,-29182,874189,-11384,20464,10368,-4489,-1155,-27950,874189,3681,-28992,7296,-5263,-7457,-16398,874231,12800,29488,6536,2424,810,16746,133,1,0.8467841617813607,0.2832235108404761,0.32219343109818505,-0.31453524320910703,0.41307053009826944,0.8093286851999824,-0.5323049183208463,0.0,0.0,0.0,20048.09829000937,-3498.716206572975,529.8026711384413
7629,874233,21065,-2575,-1144,-2807,-17616,674,874233,11641,-26291,-6852,5546,4447,30256,874232,-13472,21824,13776,-8706,2155,-29472,874232,12281,-30720,7512,-1574,4829,-15960,874274,13848,29360,7928,3289,-1120,14932,133,1,0.3791020008621856,-0.4297904637011211,-0.7950550191703512,-0.1986185961734077,-3.1257442312811525,-0.8844122762748741,2.142924962579361,0.0,0.0,0.0,21057.414137929954,-2574.9015076373516,-1137.7858725366123
7630,874276,25145,-2927,-136,-4663,-27134,350,874276,17851,30477,-9904,-2198,13907,-27542,874275,-16536,22488,16424,-6119,-819,-30370,874275,13025,-32528,8512,-3096,1677,-9708,874317,25648,26049,-1144,7808,3414,12398,133,1,-0.8523851177749714,-0.27160144471968695,-0.3373799549773846,0.2929966419626421,0.40155795085174395,0.8246524830168243,-0.4845975125358915,0.0,0.0,0.0,25152.201140067024,-2929.601857926412,-142.12734047433253
7631,874319,30832,3096,6776,-1201,-24930,2268,874319,15461,-31036,1838,4794,12197,-24164,874318,-20536,26080,11224,-13081,-6357,-29936,874318,13985,30824,624,-4464,4267,-8774,874360,13216,30089,-1272,4141,-11526,7978,133,1,-0.378535274211553,0.30068626762036704,0.8570893222218448,0.17803569410490733,3.0228601481324713,-0.85709320199137,2.521072783957278,0.0,0.0,0.0,30824.586732952477,3095.2395505115464,6782.374603711615
7632,874362,-32391,-6512,4968,1291,-22262,3178,874362,15405,-27084,4554,7656,9865,-29376,874361,-30880,15152,6416,-9989,-8637,-22880,874361,8969,-32519,-656,-1854,7595,-9758,874403,9040,27944,3352,185,-4962,10508,133,1,0.8030513735324295,0.2765219149060725,0.34570230427790366,-0.3989160799733508,0.2700414026670937,0.8880635987960165,-0.7930193462545722,0.0,0.0,0.0,-32383.39149591489,-6513.6505591349005,4962.0370557313045
7633,874405,29345,-6695,-2304,-4839,26321,-1818,874405,26583,-18038,3990,8630,1745,-27514,874404,30248,9584,14984,-7174,8075,-21338,874404,10233,32016,4368,1918,875,-9614,874446,14032,29232,6224,-1178,2124,11696,133,1,-0.3133787018916653,0.22416767318917705,0.8799870184954155,0.2777867721422212,2.6490863551528117,-0.7424294708717523,2.8377877777326943,0.0,0.0,0.0,29338.369919991677,-6698.41662467945,-2297.6329677945305
7634,874448,23153,-3335,-6688,-3373,-21091,-474,874448,31307,-15611,-1548,10518,13521,-27982,874447,-28032,8648,14952,-6476,23477,-21488,874447,11961,-29784,6920,-2663,-867,-9170,874489,20440,31624,4064,1232,3196,10828,133,1,0.908809100472855,0.30523197269551217,0.2746026421070194,-0.0741137685586853,0.6596680590606606,0.5756337789999982,0.03925974449889713,0.0,0.0,0.0,23158.338412167577,-3340.0415155629935,-6694.500373879991
7635,874491,25865,-6271,-10400,-895,-7618,576,874491,28225,-15654,1362,16554,18563,-25172,874490,-21384,8760,12808,-2388,14853,-22954,874490,11009,-29976,6328,-3385,-6717,-8730,874532,16968,23497,-3592,5681,-4616,9556,133,1,0.3248138052439256,-0.15460080878021965,-0.9106533490185577,-0.20323646269493084,2.776841113038458,-0.7134240344914092,2.9424986898881644,0.0,0.0,0.0,25858.582267362337,-6273.645078830477,-10393.072760290379
7636,874534,31089,-3663,-11600,-716,10438,272,874534,27155,-15668,2030,13694,14461,-25578,874533,-30744,12432,9392,-5102,1505,-24652,874533,17905,-30264,3616,-4588,307,-8662,874575,17752,22152,2944,518,3012,8060,133,1,0.9059790646279314,0.15531947902457488,0.33314825173705787,-0.20997627545981223,0.19155284180555143,0.7326977423131883,-0.3818073775414982,0.0,0.0,0.0,31095.55944748052,-3664.387895305554,-11607.156659807035
