Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,qw,qx,qy,qz,roll,pitch,yaw,bgx,bgy,bgz,acc_lin_x,acc_lin_y,acc_lin_z
1,15460,-30455,-4520,6272,336,4386,596,15460,-4191,-32067,-3574,1303,-268,526,15461,-14392,28968,6584,2444,1900,2494,15461,-2655,-32448,9952,-1863,-6422,1072,15462,-2920,32192,7512,-1656,380,540,1,1,0.9762428548040417,0.016400879960707902,0.21409005805852635,0.02909203707316044,0.04895783190671565,0.43020101407231426,0.07028073429538789,0.0,0.0,0.0,-30450.91010220682,-4520.43619111861,6263.097592596837
2,15503,-32463,-2968,6856,72,3802,814,15503,-1901,-32439,-3800,919,-4191,-318,15504,-10792,29728,6080,-1498,1582,1026,15504,-1319,-32168,9216,-1795,-866,28,15503,-1720,31472,7488,-419,-652,1164,1,1,-0.19053631040667612,0.03485526876312916,0.9567403450965082,0.21709200059116712,2.6919144577036054,-0.38949485213359547,-3.1242607765964716,0.0,0.0,0.0,-32466.72379242347,-2971.943439923697,6864.1702531036435
3,15546,-31759,-2792,8080,1024,2458,876,15546,-3905,-32229,-3626,669,-375,-564,15547,-9912,31256,6032,-394,2572,1526,15547,1929,-32632,7960,-1433,-2288,470,15545,312,31928,5080,-1016,1448,1112,1,1,-0.9257172107742614,0.04023920366382725,-0.0644915420833922,-0.3704987087218102,-0.027017918750757056,0.14977838965568246,0.759379979793331,0.0,0.0,0.0,-31757.53666142592,-2791.738042993843,8070.30668256132
4,15590,-32351,-4632,7848,1236,2852,566,15590,-4019,-32347,-3668,1675,-2000,472,15589,-10944,30672,5176,1404,3740,2020,15589,193,-32496,7768,-1081,-3072,1220,15585,-944,31624,6120,-1710,450,866,1,1,0.07950785516597728,-0.0379633778936003,-0.9893391190741885,-0.11595425984120845,2.9130612860265273,-0.1668982408414526,3.0840835372055935,0.0,0.0,0.0,-32352.629124764655,-4634.190799697238,7857.418956067966
5,15632,-32295,-5784,6984,786,3364,568,15632,-2459,-32503,-2900,1320,172,788,15631,-10656,30160,7224,-1196,4266,1016,15631,-663,-32376,8776,-885,-810,984,15625,-568,32032,7448,-1892,2012,1568,1,1,0.9798347979404668,-0.032314168742886576,0.028252974714826358,0.1951443892690343,-0.052443568260722134,0.06803081746332112,0.3913914518498951,0.0,0.0,0.0,-32294.333360084653,-5783.487129121372,6974.229486251603
6,15675,-31815,-5032,7008,-578,2404,512,15675,-3303,-32571,-3150,1074,740,148,15674,-9560,30728,5688,-1002,4486,1374,15674,-1887,-32520,8664,-1453,-794,904,15665,-96,32016,6744,-1818,1304,1140,1,1,-0.035033701569548215,-0.4053266228144537,0.8951919392287039,0.18197351601845224,2.7781619986427395,0.0848955875834155,-2.306870878534941,0.0,0.0,0.0,-31814.168458382766,-5035.473541253551,7017.133095527869
7,15717,-31951,-3992,7168,-1050,2656,210,15717,-3403,-32165,-3956,1785,-263,-566,15718,-8016,31064,4848,-712,2634,188,15718,25,-32552,8896,-1745,-304,958,15705,1304,31536,6088,-2008,2666,1120,1,1,-0.9928345054465343,-0.10437321101414324,-0.038207973075384476,-0.043886540200879655,0.2126740254838144,0.0667568021034978,0.095477258583111,0.0,0.0,0.0,-31950.345825544267,-3994.0653224837515,7158.435645184223
8,15759,-31639,-3848,7032,-1350,1597,-452,15759,-3671,-32199,-3492,1963,-1439,-348,15760,-10160,31304,4768,265,-550,602,15760,-1111,-32504,8488,-2007,-962,1266,15745,616,31568,6928,-3052,1164,254,1,1,-0.09291619794909045,0.6617147388667897,-0.7364476452898526,0.1055701201674658,-2.8593993109232607,-0.0028587825136774003,-1.6780023707120648,0.0,0.0,0.0,-31639.028035041352,-3845.2692229014174,7041.4187289321235
9,15803,-32415,-4672,7408,-2064,1565,-514,15803,-2511,-32235,-3726,2494,17,-356,15802,-12224,29624,6264,-831,-373,-414,15802,681,32688,8184,-1970,314,1354,15785,-1744,30424,7744,-3162,1240,338,1,1,0.9699756914289905,0.1783324033136472,-0.03664296642794428,-0.16125137201460055,0.36591793545522194,-0.01357330075046072,-0.3319837499008882,0.0,0.0,0.0,-32415.133104522643,-4675.508560961233,7398.843435830517
10,15845,-32575,-4704,7832,-1732,2163,-280,15845,-2727,32653,-2498,3544,2919,-352,15844,-10944,30864,7008,-1780,1920,368,15844,-1407,32496,8904,-1089,-198,1246,15825,-2632,-32528,6024,-2646,2208,1912,1,1,0.15787368438631882,-0.4675874520630992,0.8696460141310203,0.012396957588742312,-3.0096290725010864,0.29023955013728314,-2.135615324555378,0.0,0.0,0.0,-32572.193515600637,-4702.763601318224,7841.31479188379
11,15888,-32535,-4184,8384,-1100,1841,-22,15888,-2599,-32265,-1678,2704,1301,-368,15887,-8800,30840,7656,-422,2382,784,15887,-1271,-32504,7480,-1694,210,1178,15866,776,31184,7496,-2400,3752,1520,1,1,-0.9777684611009008,-0.12220324624390821,0.16473241380367046,0.04357103310966056,0.2698545583229633,-0.31676198048355864,-0.132422000168923,0.0,0.0,0.0,-32538.054685903153,-4186.484299844711,8375.018489406722
12,15930,-32407,-4936,7848,-944,2060,138,15930,-3821,-32669,-628,1834,899,-634,15929,-12000,29912,7432,-668,1594,1004,15929,-943,32744,6848,-722,60,916,15906,-1656,31064,8408,-2706,2502,712,1,1,-0.24577515504072653,0.37131298422868353,-0.8898085971092401,-0.09980932530772046,-3.1358941017892126,0.5369373100527216,-2.3493715650516567,0.0,0.0,0.0,-32401.98383293136,-4935.951980550945,7856.426514480762
13,15972,-32759,-6336,8640,-1426,2014,398,15972,-2809,-32389,-1428,2400,43,-272,15973,-10880,30384,8296,-1746,3030,178,15973,-735,-32488,7312,-288,244,960,15946,-16,31792,8336,-2676,5042,2512,1,1,0.9340820735026769,0.09373099344218037,-0.23561841751577237,-0.2513745057810053,0.32494493477366143,-0.4039469873756062,-0.5928756100173984,0.0,0.0,0.0,-32762.854510800837,-6338.878857903675,8631.454515351417
14,16014,32601,-5152,8840,-304,2488,544,16014,-2131,32751,-1156,2010,887,-176,16015,-9672,30408,9224,-1316,3300,790,16015,-2559,32488,7544,-1073,-128,972,15986,-1968,31960,10576,-1362,800,1558,1,1,0.32915171368597623,0.08674416775775615,0.9061308194966586,0.2511205620731072,2.4795563729993493,0.585891642428554,2.744137732859764,0.0,0.0,0.0,32606.422513918646,-5157.02296754556,8846.44488355681
15,16058,-32135,-4768,8912,688,2010,906,16058,-3055,32499,-1020,1016,1277,-432,16057,-9888,30960,7512,-412,1156,110,16057,-335,32752,6336,-1088,722,698,16026,1936,31480,8608,-1196,2186,656,1,1,-0.897841522278896,0.2384895625328587,0.36612154296261684,-0.05439067211823266,-0.6481050521879943,-0.6834798292350102,0.35883495914567987,0.0,0.0,0.0,-32141.19285075308,-4763.409714473651,8905.937965476905
16,16100,-32071,-5744,8408,644,1382,822,16100,-3911,-32077,-796,1609,-479,-248,16101,-11416,30240,8192,-648,2286,588,16101,-455,-32520,7040,-455,-326,986,16066,-1416,31208,9512,-1703,-100,462,1,1,-0.40612584603524327,-0.10273063049427018,-0.8272290916819188,-0.3744332311848334,2.0770333997275023,0.6372491078514886,2.510697780563186,0.0,0.0,0.0,-32065.165173623398,-5750.89336153488,8411.821878088955
17,16142,32745,-6240,7800,1242,1508,766,16142,-3119,-32519,-908,401,-1175,-462,16143,-10464,30120,8072,-1544,3576,112,16143,-1359,-32632,7128,-199,-1162,1216,16106,-768,31416,8712,-1406,1366,908,1,1,0.7717307183747772,-0.27784272214517314,-0.5148097072229104,0.24941147811753053,-1.1394708992602185,-0.7154996303278094,1.0952801120303548,0.0,0.0,0.0,32738.56689053302,-6233.276183918212,7796.905523613491
18,16186,-32351,-5424,7712,1326,1534,1046,16142,-3119,-32519,-908,401,-1175,-462,16185,-11152,30024,8688,-1432,3363,-188,16185,-3615,-32288,7608,235,-872,752,16187,-1480,31096,10016,-444,2840,1768,1,1,0.42667675353115847,0.03259650003915568,0.7678998808808151,0.47666989534114534,1.8052123016781882,0.6741257128085049,2.517033533341191,0.0,0.0,0.0,-32344.878546717668,-5431.451934564335,7713.779568819576
19,16229,-30519,-6504,6872,1694,1252,1210,16186,-1647,-32273,-718,793,-287,-530,16228,-10904,30312,7208,-3090,4027,-1760,16228,-2255,-32624,7184,414,1213,-6,16228,-744,31384,9840,646,2816,2040,1,1,-0.637819008724862,0.4353294118832248,0.5671961305142974,-0.28629314485025337,-1.596295300713997,-0.4941384007761177,1.3501851259482651,0.0,0.0,0.0,-30523.65103220534,-6495.369250928689,6872.220122955351
20,16272,-31223,-6552,6016,659,-1030,878,16229,-2523,32615,-612,344,2663,-1224,16271,-7600,31552,8664,-2856,2467,-2884,16271,-2695,-31992,8272,576,262,120,16270,368,31456,9560,1647,-178,768,1,1,0.3214192373296504,-0.11511748205416343,0.09464456679411962,-0.9351363778488615,-0.25687784701239486,-0.1550807912134574,-2.45939709761657,0.0,0.0,0.0,-31224.514734388566,-6549.538402369939,6006.628954110545
21,16315,-31503,-5264,4792,539,-724,532,16272,-2795,-32037,-988,472,1595,-2024,16314,-9672,29144,7784,-2991,-361,-4444,16314,-4759,-32040,9056,175,-93,-616,16310,-1384,30672,9536,2269,-470,422,1,1,0.627283582338046,-0.44176912605056545,-0.6328262951536456,0.10433708238099405,-1.8425868823355,-0.7778330953605902,1.3193041030389345,0.0,0.0,0.0,-31509.881691969942,-5257.269857537254,4793.875601845931
22,16357,-29719,-5640,3656,-93,-3421,-202,16315,-901,-31867,-898,-398,885,-3912,16356,-14040,27224,8656,-3411,-3169,-5826,16356,-4415,-32408,8680,-1174,1297,-1084,16350,-4192,32168,8152,3385,-1666,1716,1,1,-0.6187690452323029,0.11145470184747001,-0.6729961822942424,0.3895880602838989,-1.466530306750155,0.8420585819568962,-1.890680207868387,0.0,0.0,0.0,-29711.68408642888,-5633.504938090173,3655.320320936111
23,16399,32153,-4976,4784,261,-7166,830,16357,-67,-32033,-1032,60,2281,-7210,16398,-11992,26608,6448,-10282,1199,-7834,16398,-3855,32632,5640,-1714,963,-2354,16390,-360,30960,8744,4788,30,3238,1,1,-0.7254167329070219,0.2885102811954337,0.6061477563046853,-0.15204367395531473,-1.408538207520272,-0.9135656582685516,1.204279516571009,0.0,0.0,0.0,32145.236201467178,-4970.087548798643,4783.03214807133
24,16441,30417,-6528,4080,-2101,-15220,686,16399,1459,-31925,-196,-533,-143,-10350,16440,-12664,29632,9232,-10603,-3759,-8902,16440,2433,30608,3296,-1598,3435,-4272,16430,1112,32616,6568,3913,-2112,4574,1,1,0.6413208270734042,-0.022453618398087412,0.7297146745886046,-0.2360506841184001,-1.7457257221344686,1.1819895561917706,-2.054825974869802,0.0,0.0,0.0,30426.074701780013,-6524.3391849831505,4080.646997093295
25,16483,28633,-5232,4784,-3425,-16046,1576,16441,-1669,32484,612,43,-3009,-14700,16482,-9304,28632,2936,-10660,3657,-13050,16482,-3327,-30976,6080,-1058,3111,-5292,16470,464,30216,8384,3055,-3036,6448,1,1,0.7321507638729954,-0.2934129716627399,-0.5686854844541519,0.23336860712481436,-1.3160339424205107,-0.7695056726016667,1.223782860394584,0.0,0.0,0.0,28626.17672640859,-5225.183674706566,4782.224885577392
26,16525,-31815,-5560,3256,-3119,-9192,2298,16483,-379,-31379,-104,735,-843,-12228,16524,-12272,-32024,16144,-3535,-3591,-12112,16524,9705,31216,10272,-602,7829,-2532,16510,16376,-31000,7968,-2,2136,2962,1,1,-0.662176054560868,-0.14782471374991185,-0.6857169880839373,0.2635582270088571,-1.4752404400642805,1.40357809089042,-2.0676897280950253,0.0,0.0,0.0,-31805.3301372891,-5558.375227012429,3255.844269098465
27,16568,30633,-4424,2696,-1723,-7220,2042,16525,2057,31241,-6352,4264,3157,-11484,16567,-16992,21048,9720,-331,-5295,-11432,16567,-6535,-30872,7728,-855,-2255,-2178,16550,-2392,31616,9880,381,-4604,3004,1,1,-0.7546265508912406,0.2115562657511872,0.592284516751249,-0.18703413145236952,-1.2022251721344537,-0.9523336945118251,1.165816791491496,0.0,0.0,0.0,30625.00982833421,-4418.696104820835,2693.9515281544236
28,16611,24897,-3272,1680,-3809,-15978,2818,16568,6427,-30729,-3348,625,-433,-8216,16610,-15360,22416,9768,-3866,4479,-21162,16610,-5759,-30136,6040,-2206,2763,-6934,16590,-4072,28512,6144,982,314,6326,1,1,0.6432814752048523,0.09457296666851138,0.7340025917715888,-0.19617617823368838,-2.0916241454287614,1.3778652954951067,-2.5077213706193877,0.0,0.0,0.0,24906.624701989804,-3270.3690210139644,1680.9356299359522
29,16654,27721,-2808,2488,-2529,-14410,1408,16611,6257,-28408,1264,-1146,5505,-15030,16653,-17216,26792,11944,-681,-8581,-18330,16653,5249,31888,4400,698,2455,-9448,16632,7944,-32568,4184,508,4730,6068,1,1,0.7590530881097681,-0.23205766606437234,-0.6009803136981178,0.09386326011327815,-1.220481255072494,-1.0527505726366913,1.0179542869107812,0.0,0.0,0.0,27712.48009478704,-2803.438847463763,2486.333420591207
30,16697,28225,-5575,-520,-5113,-21699,-3016,16654,1951,-29126,1400,9322,5067,-18932,16696,-20096,25880,10424,-5530,3479,-11886,16696,1481,-32000,6376,1319,-3135,-7338,16672,-3944,26800,6120,2241,-1962,5606,1,1,-0.6164578094451855,-0.002442536828578757,-0.7872578080063618,-0.014104854515479305,3.03670440145884,1.3275182269121468,3.053320372983854,0.0,0.0,0.0,28234.517878915514,-5575.2473213152925,-517.6507027989024
31,16740,26729,-3919,-3352,-6687,30903,-2864,16697,4189,-30989,-1224,917,-3939,-19712,16739,-15600,24640,11568,-6168,2881,-11900,16739,10105,29792,5592,1758,441,-8106,16712,8080,-30904,4336,-1664,4614,6198,1,1,0.7625800802637599,0.21458476448921196,-0.5997829024397349,-0.11262979168494551,1.1838288975685187,-1.048002731412671,-1.0344336537356849,0.0,0.0,0.0,26720.50324666713,-3923.5344280564173,-3353.8478444804746
32,16783,26609,-4279,-5024,-7313,-25875,-2738,16740,8229,31963,-1324,4313,-9943,-20650,16782,-19904,21912,14616,-4130,1069,-9500,16782,4145,-32464,5048,1525,-10277,-6502,16752,7824,32088,6232,-1315,-2032,3920,1,1,-0.5247280209845814,-0.2526057867964057,-0.6800605221065464,-0.4453857953984894,1.6311035969062477,0.5105756545086513,1.9484365255101515,0.0,0.0,0.0,26613.792309458855,-4287.5403885043825,-5023.484327170319
33,16825,24561,-5639,-4072,-7119,-31503,-2614,16783,10487,-30170,772,4601,-7093,-20878,16824,-22616,17120,12904,-2268,2427,-12552,16824,1273,-32304,8640,2567,-10279,-6930,16792,1392,32144,4912,-1687,-3760,4304,1,1,-0.7542162213103419,-0.2636484506808949,0.5855266690961752,0.13713462634597864,1.2665558524289202,-0.9457170975462974,-1.0782514084678636,0.0,0.0,0.0,24553.047623154147,-5644.474933430622,-4073.719066797511
34,16867,24945,-1847,-8864,-5711,-11037,-1066,16825,16649,-28861,-4276,4589,-167,-21920,16866,-22432,13112,19088,2600,6807,-16092,16866,6105,30336,9176,1401,-3735,-6884,16832,3208,-32472,8456,-2527,-1778,6468,1,1,0.40307070659140515,0.4145211439933737,0.5867534932123472,0.5669449398957878,1.603016926313188,0.0029849645071159977,1.9085981320998453,0.0,0.0,0.0,24945.029272458713,-1856.801516304031,-8863.684079934996
35,16909,28489,-4039,-9432,-1417,-417,-80,16867,20781,-28495,-3896,12652,6961,-22608,16908,-26344,15320,17672,-98,8939,-16776,16908,5633,-31624,11744,-1954,1081,-8376,16872,7864,-32536,6560,-2621,-3390,5960,1,1,0.6189799187137366,-0.22947355569296315,-0.593274902069727,0.4606849661546602,-1.3451035800306745,-0.5503909305244787,1.722033307987119,0.0,0.0,0.0,28483.870921338857,-4030.8535697335396,-9433.870457223256
36,16951,24800,513,-11528,-1565,-6375,-2562,16909,19923,-23253,-4124,14762,15021,-20052,16950,-26144,10720,17800,870,15523,-17884,16950,2441,-32664,11832,-2460,1863,-7420,16912,3016,31632,10472,-451,-4756,5610,1,1,-0.4113777524172712,0.4917077406496336,-0.7540827637578514,-0.14265702928586207,-2.845480955594226,0.8644168443607784,-1.8485618895081513,0.0,0.0,0.0,24807.46008415299,514.8574269404756,-11521.911692040181
37,16994,24153,-1935,-17656,-4745,-6743,-724,16951,20761,-22485,-1638,9904,11335,-20870,16993,-25104,11008,12728,-1960,12027,-19198,16950,2441,-32664,11832,-2460,1863,-7420,16995,4424,29576,9048,2108,3380,6970,1,1,-0.3498693035014591,0.19150407274356948,0.45078940248950083,-0.7985653230595404,-1.023647898653731,-0.00957787155230665,2.3211077565777725,0.0,0.0,0.0,24152.906074602008,-1926.6253919287528,-17661.101715583518
38,16994,24153,-1935,-17656,-4745,-6743,-724,16994,21161,-19638,4082,9884,8473,-20766,16993,-25104,11008,12728,-1960,12027,-19198,16993,6849,32248,7168,-4872,1059,-7778,17036,9952,31960,6424,1812,754,8296,1,1,0.4029242657082122,-0.4870806495688589,0.7649746659178642,0.12336222040369024,-2.835526420405207,0.8280713672250718,-1.872265983353183,0.0,0.0,0.0,24160.223857016477,-1933.0016471557226,-17649.67600917634
39,17038,23993,-5591,-14696,416,1043,-534,17038,24885,-22648,4946,7020,4173,-19270,17037,-28464,13720,11120,-2860,7119,-19288,17037,7849,-31888,5104,-1768,335,-8232,17079,8824,29696,6808,1982,522,8274,1,1,-0.39206882321978065,-0.33529545312986114,0.2308482232362862,-0.8249655112779851,-0.17464687708143017,-0.8245334952681482,2.330815686700258,0.0,0.0,0.0,23985.799652070353,-5589.843150123152,-14702.556452720564
40,17081,29601,-2223,-13232,-1032,13305,-1998,17081,24177,-25164,6932,9782,5595,-16126,17080,-30208,17560,11872,-4464,8383,-16840,17080,9585,31512,4200,-474,483,-8158,17122,10376,30256,3920,1926,2106,8212,1,1,-0.3783103763131852,0.8067256977731033,-0.3714183355376118,-0.2610044592583541,-2.516782842176497,0.7783996794840009,-0.599552687801139,0.0,0.0,0.0,29607.885649366675,-2218.9155133981394,-13226.33650406366
41,17124,-25375,-6351,-16680,-60,8877,-248,17124,24785,-24568,7158,8792,4721,-13618,17123,-30336,14736,11416,-2332,7615,-15088,17123,10497,-30704,4688,-498,3571,-7044,17165,11208,28880,5520,652,3794,7526,1,1,0.3651435934639909,0.282890966277375,-0.3580219262217998,0.8114574281472128,-0.5704701093708361,-0.8046193777629135,2.5441770724376847,0.0,0.0,0.0,-25382.066346186042,-6347.3279248656745,-16685.723023677165
42,17167,-30055,-4055,-18632,-176,6679,-446,17167,26495,-24214,8162,6636,4589,-10694,17166,-32280,16184,11296,-3418,3957,-12078,17166,12665,-31200,6512,996,3103,-5044,17208,14248,31016,5960,22,5080,6152,1,1,0.4239912435103238,-0.7908129432065474,0.3563338863583024,0.26052346480951716,-2.376187900607764,0.7955027046458883,-0.5116045442212501,0.0,0.0,0.0,-30047.995938065564,-4050.244472503521,-18627.05040821165
43,17210,31377,-2903,-21184,-480,859,-30,17210,29161,-24856,8564,6472,3789,-6696,17209,31256,15856,12208,-1762,3347,-7524,17209,12585,-31912,6896,-1900,2477,-3376,17251,14544,29984,5128,84,3024,3990,1,1,-0.6421861898339265,-0.5225448036689545,0.25372121772672934,-0.5001693407441357,0.908930923883243,-1.0133225559079384,0.7938586858994601,0.0,0.0,0.0,31368.678132667654,-2907.0926579302513,-21187.18858266182
44,17253,-28407,-4223,-23176,324,16123,-162,17253,28627,-24994,9164,4128,2773,-3264,17252,30968,16144,11736,-2191,-495,-3334,17252,12913,-32168,5408,-3580,1113,-1286,17294,14512,31424,3264,-634,1804,2312,1,1,-0.2521605503086928,0.4813432302594678,-0.6557360021837867,-0.5241507865027231,2.1995554298501188,0.9886679736242242,-2.410906682601825,0.0,0.0,0.0,-28398.808560488287,-4227.36060081469,-23172.82890184899
45,17296,-25927,-3223,-23424,-246,2990,394,17296,28253,-26076,11220,1239,-1252,1322,17295,29856,14752,11192,-1551,-3708,2110,17295,13777,-31200,4056,-2748,2413,-614,17337,15016,29888,4544,-888,134,158,1,1,0.7466056580341431,0.4687066138296977,-0.29074721294815487,0.3719679552146704,0.8901624005049025,-0.8992085802765463,0.4719426503522437,0.0,0.0,0.0,-25934.67698600856,-3227.7423069375836,-23427.839895175217
46,17339,-26287,-4007,-22824,8,3634,110,17339,27951,-26562,10950,-1141,-3660,6354,17338,30160,16296,13096,815,-5412,7688,17338,13249,-30728,2584,-1378,2612,240,17380,14344,30936,6600,-843,-2545,-2654,1,1,0.2987504519789622,-0.3659204231509145,0.7246283448164061,0.5017610718778976,2.12957765730284,0.92758750587019,-2.7471074208547908,0.0,0.0,0.0,-26279.15296051625,-4011.9871013124516,-22820.881799226747
47,17382,-28743,-3639,-21368,396,2935,-74,17382,28013,-26052,8944,-2093,-4512,10612,17381,31936,16168,13248,941,-5580,12284,17381,13233,32760,4568,-937,-732,3140,17423,12184,29168,6112,-193,-459,-3540,1,1,-0.6459990847066741,-0.48734066529391,0.3781500670376009,-0.4496518489992966,0.8807770250710997,-1.1858975863160799,0.6011941784383559,0.0,0.0,0.0,-28752.089160739666,-3641.839726289233,-21370.343820785223
48,17425,32641,-3463,-18936,862,6436,614,17425,24859,-23912,8304,-3091,-6918,14164,17424,-30384,15016,14048,2437,-6054,15582,17424,11137,-31016,3728,-47,-1980,4632,17466,10832,30528,5568,-221,-2063,-4370,1,1,-0.2762754320871389,0.38639904189918317,-0.6451140450358879,-0.5984943900671855,1.801032765644069,0.9596201207979508,-2.844754894540312,0.0,0.0,0.0,32649.03138785537,-3468.4788689459588,-18934.715792691146
49,17468,31169,-3879,-16736,2066,9758,1038,17468,24281,-23348,7144,-5345,-8932,16980,17467,-29208,15904,14496,3435,-6996,17124,17467,9449,-32008,5800,1627,-2274,6148,17509,10128,30216,6024,-1364,125,-4556,1,1,0.6072916711979781,0.46250713862329745,-0.43854026314222816,0.4743062411767338,0.6606606516202881,-1.3309889482516544,0.8002734825612293,0.0,0.0,0.0,31159.473979612216,-3880.429306475908,-16737.839130988254
50,17511,29385,-4759,-13608,1890,9260,1454,17511,22951,-23862,5456,-5417,-7914,19414,17510,-27032,16768,14888,3857,-6302,17834,17510,10537,-32496,5288,1584,172,7036,17552,9272,29328,6600,-535,-1117,-6314,1,1,0.26748219969806053,-0.4011117201291582,0.6069065407084419,0.6318442147120025,1.6762267612865995,0.9818989540377169,-2.8702735940333683,0.0,0.0,0.0,29393.154755431857,-4764.416803967177,-13607.426778532936
51,17554,28265,-4167,-11416,2536,12134,1946,17554,21671,-24742,2176,-7143,-8074,21198,17553,-25184,17776,13528,4181,-6948,16794,17553,8321,-31544,6864,1931,-430,7590,17595,10384,31728,7720,-1319,-1799,-7674,1,1,-0.6016551472190064,-0.4659986235627694,0.45338394971364576,-0.4640036215424773,0.7359460038899805,-1.3607040375736466,0.7090374515128264,0.0,0.0,0.0,28255.4089818372,-4168.372905028993,-11417.515878162885
52,17597,27929,-5087,-9384,2176,16384,1698,17597,19727,-25728,1986,-8163,-7386,21064,17596,-23936,18344,15064,3963,-9564,15702,17596,8881,32384,6440,986,1100,8168,17638,7968,30536,6640,-1385,-1271,-8002,1,1,-0.3422486465763402,0.42228173683062314,-0.6037007193340257,-0.5831718787214928,1.7740654397973017,1.1331629714846427,-2.8773563107449216,0.0,0.0,0.0,27937.88244360897,-5091.070464451463,-9383.161013167375
53,17640,26569,-5263,-6696,998,15426,1068,17640,16835,-27614,690,-7221,-5972,20350,17639,-21824,21120,15432,5439,-5812,14576,17639,7513,-31976,5888,-189,-1524,8790,17681,9048,29912,6640,-1689,-605,-8884,1,1,0.6117841001257264,0.5196322526639664,-0.4112763182630342,0.43191935226466815,1.1615715760334804,-1.2600416450195973,0.33682817175143287,0.0,0.0,0.0,26559.663058364684,-5265.751050680988,-6697.193157689427
54,17683,26321,-5719,-5600,768,17836,1106,17683,15529,-28737,-550,-8139,-7582,20410,17682,-20448,21728,15768,7051,-6134,13768,17682,6297,-32056,5248,-389,-1554,9984,17724,6424,32128,8968,-2189,-1435,-9892,1,1,0.36450552660753144,-0.4269445739698005,0.5941541149876207,0.5760511604654477,1.7577269923782086,1.1811112699363449,-2.9094669487411577,0.0,0.0,0.0,26330.071433208042,-5722.660616714562,-5599.307635180265
55,17726,27697,-3615,-3744,-324,21002,658,17726,14497,-30813,-30,-7297,-4934,21010,17725,-20168,20768,15816,7581,-1232,14760,17725,5545,-32384,5192,237,-1348,10260,17767,4976,31008,10216,-1504,3521,-10526,1,1,-0.6166700287641328,-0.5647415757747377,0.3715933493731607,-0.40336510870072273,1.357404270856946,-1.1527776605710267,0.1927865673811415,0.0,0.0,0.0,27688.037751038355,-3618.890718015273,-3744.8430842767043
56,17769,27817,-4735,-1864,-794,17940,538,17769,12561,-30994,490,-3208,1474,23238,17768,-19520,21048,16336,7198,1002,16538,17768,4289,32688,5752,561,-1406,11420,17810,5312,30424,6320,-122,4793,-11238,1,1,-0.3873697931116459,0.43802148107239425,-0.5789745824782677,-0.5682167353641588,1.7391391188285596,1.2417062324732957,-2.9328070397888193,0.0,0.0,0.0,27826.28039378415,-4738.124531209481,-1863.4689819639589
57,17812,25769,-4055,-176,-142,16056,394,17812,9699,-30605,-1250,372,6390,23990,17811,-17392,22712,14016,5966,4984,19562,17811,4617,-32224,5080,2420,2202,12490,17853,-56,31480,7288,-1896,1929,-11006,1,1,0.594165765831806,0.5599618954558822,-0.3965565158898714,0.4197054301009762,1.3970384447417417,-1.226397828600202,0.16253691323614394,0.0,0.0,0.0,25759.76920915561,-4058.261167436059,-176.5724260332688
58,17855,27129,-3704,312,900,21432,408,17855,7395,-29354,3354,524,8410,24188,17854,-17840,23776,9312,3634,7206,22436,17854,2113,-32600,6168,879,-574,12148,19396,-440,31136,9232,386,558,776,2,1,0.36742995871762857,-0.39926245031089086,0.5986378278512969,0.5892516205102759,1.6568631335527186,1.1443635549853468,-3.0325589933316404,0.0,0.0,0.0,27137.928435430076,-3708.041267990104,312.34868040610746
59,19398,-32415,-5424,5616,-6,2689,-352,19398,-3041,-32681,-838,464,680,902,19397,-9800,30368,7928,966,1078,1332,19397,-2319,32712,7648,-762,1309,-1294,19439,-200,31056,9064,422,320,1504,2,1,-0.5040819954279774,-0.6770414602841578,0.3330422592788169,-0.4202369051810004,1.9023181954241655,-1.1309023770857007,-0.06414997870935198,0.0,0.0,0.0,-32423.87302582445,-5427.948701793526,5617.3592465144175
60,19441,-32759,-4904,5312,-992,2835,-258,19441,-3627,-32451,-1904,451,-714,1294,19440,-10352,30312,7560,988,1490,1160,19440,-391,-32568,7760,-1369,-175,-986,19482,-312,31136,8656,723,-730,1606,2,1,-0.5883532799440494,0.5098332035633643,-0.3824498232765461,-0.4976370717693113,-0.8630941350672973,1.278050264547918,0.7447678212278261,0.0,0.0,0.0,-32749.610573719274,-4901.849581560214,5310.160228580732
61,19484,32641,-4704,5608,-982,3171,-118,19484,-3399,-32463,-1144,420,1658,980,19483,-9416,30504,7784,500,1720,684,19483,-2095,32632,7048,-1072,39,-1434,19525,912,31408,8696,1065,-840,1410,2,1,0.4802179589188128,0.6776299138848414,-0.407764712822471,0.37938944465691127,2.204565997140266,-1.1332714646483923,-0.4603888489780868,0.0,0.0,0.0,32632.117105542537,-4707.3481555755825,5610.4605740228135
