Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,15460,-30455,-4520,6272,336,4386,596,15460,-4191,-32067,-3574,1303,-268,526,15461,-14392,28968,6584,2444,1900,2494,15461,-2655,-32448,9952,-1863,-6422,1072,15462,-2920,32192,7512,-1656,380,540,1,1
2,15503,-32463,-2968,6856,72,3802,814,15503,-1901,-32439,-3800,919,-4191,-318,15504,-10792,29728,6080,-1498,1582,1026,15504,-1319,-32168,9216,-1795,-866,28,15503,-1720,31472,7488,-419,-652,1164,1,1
3,15546,-31759,-2792,8080,1024,2458,876,15546,-3905,-32229,-3626,669,-375,-564,15547,-9912,31256,6032,-394,2572,1526,15547,1929,-32632,7960,-1433,-2288,470,15545,312,31928,5080,-1016,1448,1112,1,1
4,15590,-32351,-4632,7848,1236,2852,566,15590,-4019,-32347,-3668,1675,-2000,472,15589,-10944,30672,5176,1404,3740,2020,15589,193,-32496,7768,-1081,-3072,1220,15585,-944,31624,6120,-1710,450,866,1,1
5,15632,-32295,-5784,6984,786,3364,568,15632,-2459,-32503,-2900,1320,172,788,15631,-10656,30160,7224,-1196,4266,1016,15631,-663,-32376,8776,-885,-810,984,15625,-568,32032,7448,-1892,2012,1568,1,1
6,15675,-31815,-5032,7008,-578,2404,512,15675,-3303,-32571,-3150,1074,740,148,15674,-9560,30728,5688,-1002,4486,1374,15674,-1887,-32520,8664,-1453,-794,904,15665,-96,32016,6744,-1818,1304,1140,1,1
7,15717,-31951,-3992,7168,-1050,2656,210,15717,-3403,-32165,-3956,1785,-263,-566,15718,-8016,31064,4848,-712,2634,188,15718,25,-32552,8896,-1745,-304,958,15705,1304,31536,6088,-2008,2666,1120,1,1
8,15759,-31639,-3848,7032,-1350,1597,-452,15759,-3671,-32199,-3492,1963,-1439,-348,15760,-10160,31304,4768,265,-550,602,15760,-1111,-32504,8488,-2007,-962,1266,15745,616,31568,6928,-3052,1164,254,1,1
9,15803,-32415,-4672,7408,-2064,1565,-514,15803,-2511,-32235,-3726,2494,17,-356,15802,-12224,29624,6264,-831,-373,-414,15802,681,32688,8184,-1970,314,1354,15785,-1744,30424,7744,-3162,1240,338,1,1
10,15845,-32575,-4704,7832,-1732,2163,-280,15845,-2727,32653,-2498,3544,2919,-352,15844,-10944,30864,7008,-1780,1920,368,15844,-1407,32496,8904,-1089,-198,1246,15825,-2632,-32528,6024,-2646,2208,1912,1,1
